training_case,evaluation_case,model,held_out_machine_count,measurement_augmentations,fit_count,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um,fraction_below_50um,median_machine_rmse_2d_um,worst_machine_rmse_2d_um,worst_target_rmse_2d_um,preferred_30um_aggregate_gate,hard_50um_rmse_p99_all_target_gate
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,3,32,7296,25.922764869710257,21.88071678520481,33.92278740794494,24.71514924011274,54.06877541607433,64.49265411782807,86.55899121015013,124.28523797719637,0.8725328947368421,34.19803548260863,37.87185500513119,60.069721002095186,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,24.619002482720283,22.09277417381386,33.07848173570432,24.17675482058706,52.49112323051872,62.511252557940935,84.15870372416205,130.81799508090123,0.8788377192982456,33.05668677875906,37.65650931848604,60.873006859685084,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,3,32,7296,24.286834954445585,22.479921484786217,33.093764096376724,24.183804141152493,52.195659680083565,62.29615710693888,84.2165233719811,133.44739233363643,0.8819901315789473,33.08607708415704,37.89302912799361,62.31338303216051,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,24.490346499192587,22.255265884493493,33.09190129382134,23.955256855777254,52.28482479439886,62.35751610584261,84.80978160871102,134.27619990372204,0.8819901315789473,33.11341920135136,37.784190648248725,62.13579263172913,False,False
with_quadrupole_misalignment_corrected,without_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,24.14869984056462,22.7211497846758,33.15735742678175,24.176187087581702,52.6229688580524,62.34275370735937,84.10859168442602,131.10251572548106,0.8796600877192983,32.993706426289904,37.97780735635749,60.86014181815115,False,False
with_quadrupole_misalignment_corrected,without_quadrupole_misalignment,shared_joint_ridge,3,32,7296,24.146521293805492,22.717012582712936,33.152935786674156,24.191119795178338,52.674937123671775,62.343898402856766,84.28869764644207,131.08804659011898,0.8803453947368421,32.99090226797155,37.96234878916169,60.8201136481277,False,False
with_quadrupole_misalignment_corrected,without_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,24.364631871146713,22.48732354507875,33.155919628892086,24.15179265400627,52.77619627099426,62.48986483458284,84.3806693720594,131.1394729481385,0.8785635964912281,33.1133977930545,37.870082011705,60.51222082648984,False,False
fixed_nominal_physics,with_quadrupole_misalignment_corrected,physics_gls,3,32,7296,26.1183865256086,22.049622911360952,34.18122269952183,24.881078997791022,54.80561202046902,65.65987229425129,86.81188765797324,122.15964251286937,0.8675986842105263,34.419874271263055,37.88556566916045,60.670813253062434,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment_corrected,shared_target_local_ridge,3,32,7296,24.92885255528253,23.438625052468087,34.21720085093462,25.053635861860784,53.95468198065359,65.18022821219326,84.83213467742343,127.31701007724067,0.8703399122807017,34.11775558052433,37.90905000750794,60.81038108704605,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment_corrected,shared_joint_ridge,3,32,7296,24.624069748982553,23.704761438718247,34.17982629957767,24.999217451258836,53.88505449412606,65.35150708087642,85.0189633024933,129.84865392642848,0.8725328947368421,34.03892011287492,38.12574443088538,62.020184234311444,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment_corrected,shared_joint_random_feature,3,32,7296,25.334666199129757,22.890347952026662,34.144008856403765,24.752296285009308,54.30684096613173,65.16284032178325,84.20368483409295,130.20116322110988,0.8717105263157895,34.019707142184245,38.1809301927395,61.56706336761335,False,False
with_quadrupole_misalignment_corrected,with_quadrupole_misalignment_corrected,shared_target_local_ridge,3,32,7296,24.392725659466517,22.92889562928554,33.4774449424783,24.359559851852936,53.63665924243142,63.440971281998074,83.02559265262404,129.4734368400682,0.8730811403508771,33.19035026609313,38.14692926427788,60.015768901653416,False,False
with_quadrupole_misalignment_corrected,with_quadrupole_misalignment_corrected,shared_joint_ridge,3,32,7296,24.390412087138614,22.903165964961637,33.45814120657354,24.27475500184388,53.52642199479219,63.420803216579635,83.39620691687959,129.16936716889575,0.8726699561403509,33.17601023126193,38.09215988878954,59.851057908133754,False,False
with_quadrupole_misalignment_corrected,with_quadrupole_misalignment_corrected,shared_joint_random_feature,3,32,7296,24.569949347402588,22.68905811070187,33.44362075022283,24.22063610533464,53.53453147564929,63.51254804157716,84.48567834198275,129.3245444529137,0.8748629385964912,33.33503380291242,37.972240187160246,59.58488836184287,False,False
