training_case,model,alpha,validation_rmse_2d_um,hidden_scale
without_quadrupole_misalignment,shared_target_local_ridge,0.0001,34.03290507166954,
without_quadrupole_misalignment,shared_target_local_ridge,0.00031622776601683794,34.03290491199808,
without_quadrupole_misalignment,shared_target_local_ridge,0.001,34.03290440707277,
without_quadrupole_misalignment,shared_target_local_ridge,0.0031622776601683794,34.03290281036039,
without_quadrupole_misalignment,shared_target_local_ridge,0.01,34.032897761128815,
without_quadrupole_misalignment,shared_target_local_ridge,0.03162277660168379,34.03288179422,
without_quadrupole_misalignment,shared_target_local_ridge,0.1,34.03283130405481,
without_quadrupole_misalignment,shared_target_local_ridge,0.31622776601683794,34.03267165647019,
without_quadrupole_misalignment,shared_target_local_ridge,1.0,34.03216696980128,
without_quadrupole_misalignment,shared_target_local_ridge,3.1622776601683795,34.03057264215182,
without_quadrupole_misalignment,shared_target_local_ridge,10.0,34.025547205905994,
without_quadrupole_misalignment,shared_target_local_ridge,31.622776601683793,34.00981661878178,
without_quadrupole_misalignment,shared_target_local_ridge,100.0,33.96163945958175,
without_quadrupole_misalignment,shared_target_local_ridge,316.22776601683796,33.8236600172224,
without_quadrupole_misalignment,shared_target_local_ridge,1000.0,33.49907054239105,
without_quadrupole_misalignment,shared_target_local_ridge,3162.2776601683795,33.054584769019996,
without_quadrupole_misalignment,shared_target_local_ridge,10000.0,33.003462549352626,
without_quadrupole_misalignment,shared_joint_ridge,0.0001,36.56486381106418,
without_quadrupole_misalignment,shared_joint_ridge,0.00031622776601683794,36.56480853100558,
without_quadrupole_misalignment,shared_joint_ridge,0.001,36.56463373274715,
without_quadrupole_misalignment,shared_joint_ridge,0.0031622776601683794,36.56408109847266,
without_quadrupole_misalignment,shared_joint_ridge,0.01,36.562334777973554,
without_quadrupole_misalignment,shared_joint_ridge,0.03162277660168379,36.556825021621854,
without_quadrupole_misalignment,shared_joint_ridge,0.1,36.53952660115757,
without_quadrupole_misalignment,shared_joint_ridge,0.31622776601683794,36.486043548723266,
without_quadrupole_misalignment,shared_joint_ridge,1.0,36.328224349429384,
without_quadrupole_misalignment,shared_joint_ridge,3.1622776601683795,35.91996290126396,
without_quadrupole_misalignment,shared_joint_ridge,10.0,35.14547999212543,
without_quadrupole_misalignment,shared_joint_ridge,31.622776601683793,34.28615056080117,
without_quadrupole_misalignment,shared_joint_ridge,100.0,33.778887006163714,
without_quadrupole_misalignment,shared_joint_ridge,316.22776601683796,33.530450848133896,
without_quadrupole_misalignment,shared_joint_ridge,1000.0,33.2424785501932,
without_quadrupole_misalignment,shared_joint_ridge,3162.2776601683795,32.91030322783324,
without_quadrupole_misalignment,shared_joint_ridge,10000.0,32.963864913487605,
without_quadrupole_misalignment,shared_joint_random_feature,0.0001,37.43269341230186,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.00031622776601683794,37.432664578535004,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.001,37.43257339929905,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.0031622776601683794,37.43228507670116,0.5
without_quadrupole_misalignment,shared_joint_random_feature,0.01,37.43137343531851,0.5
