training_case,evaluation_case,model,held_out_machine_count,measurement_augmentations,fit_count,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p95_2d_um,p99_2d_um,max_2d_um,fraction_below_50um,median_machine_rmse_2d_um,worst_machine_rmse_2d_um,worst_target_rmse_2d_um,preferred_30um_aggregate_gate,hard_50um_rmse_p99_all_target_gate
fixed_nominal_physics,without_quadrupole_misalignment,physics_gls,3,32,7296,25.922764869710257,21.88071678520481,33.92278740794494,24.71514924011274,54.06877541607433,64.49265411782807,86.55899121015013,124.28523797719637,0.8725328947368421,34.19803548260863,37.87185500513119,60.069721002095186,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,24.619002482720283,22.09277417381386,33.07848173570432,24.17675482058706,52.49112323051872,62.511252557940935,84.15870372416205,130.81799508090123,0.8788377192982456,33.05668677875906,37.65650931848604,60.873006859685084,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_ridge,3,32,7296,24.286834954445585,22.479921484786217,33.093764096376724,24.183804141152493,52.195659680083565,62.29615710693888,84.2165233719811,133.44739233363643,0.8819901315789473,33.08607708415704,37.89302912799361,62.31338303216051,False,False
without_quadrupole_misalignment,without_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,24.490346499192587,22.255265884493493,33.09190129382134,23.955256855777254,52.28482479439886,62.35751610584261,84.80978160871102,134.27619990372204,0.8819901315789473,33.11341920135136,37.784190648248725,62.13579263172913,False,False
with_quadrupole_misalignment_gtpsa_noisy_corrected,without_quadrupole_misalignment,shared_target_local_ridge,3,32,7296,24.148852520742217,22.72113078945605,33.1574556083564,24.176461409333847,52.623586700434146,62.343648315287226,84.11023795499223,131.1056988988554,0.8796600877192983,32.99378626594536,37.97786662060031,60.861830201407685,False,False
with_quadrupole_misalignment_gtpsa_noisy_corrected,without_quadrupole_misalignment,shared_joint_ridge,3,32,7296,24.14661708234207,22.71699761914326,33.15299529981287,24.192005733961672,52.67500172320035,62.345006453582386,84.2902061619824,131.09022038685538,0.8803453947368421,32.99095522601054,37.962338890102494,60.821155405272506,False,False
with_quadrupole_misalignment_gtpsa_noisy_corrected,without_quadrupole_misalignment,shared_joint_random_feature,3,32,7296,24.346047364098563,22.487037199624307,33.142070911037194,24.183580845329228,52.725166278845975,62.44276543290105,83.88270627558335,131.25867915356858,0.8793859649122807,33.13036294339723,37.90130894029871,60.6512426229201,False,False
fixed_nominal_physics,with_quadrupole_misalignment_gtpsa_noisy_corrected,physics_gls,3,32,7296,26.118579785987727,22.048614269041032,34.18071972943177,24.875903461859536,54.79556212830644,65.6612078278022,86.77937740739767,122.1540326355235,0.8675986842105263,34.41883761270468,37.88447009024938,60.67441428311373,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,3,32,7296,24.929773734345247,23.437611223144817,34.21717753253378,25.045701131613683,53.94144411557576,65.21615595034173,84.83879228496036,127.30524457045723,0.8703399122807017,34.117969436941465,37.907075204729914,60.806334546366266,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,3,32,7296,24.624966331879435,23.703601276350867,34.17966764487943,24.997601827046566,53.88164436868833,65.34985089435355,85.01704612653711,129.8362819842713,0.8722587719298246,34.040862469018904,38.12399604013408,62.01564771306326,False,False
without_quadrupole_misalignment,with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3,32,7296,25.334917537460377,22.889253307235155,34.1434615057216,24.746150779651813,54.30394971505011,65.1814275189219,84.2087567610983,130.19726658858505,0.8715734649122807,34.0222959965221,38.17858247912885,61.56376753006935,False,False
with_quadrupole_misalignment_gtpsa_noisy_corrected,with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_target_local_ridge,3,32,7296,24.393118838096044,22.92848913694698,33.47745302069098,24.36027366399012,53.64076649094319,63.45188185139159,83.02585318463923,129.47471088939741,0.8730811403508771,33.18878301247468,38.14710003368911,60.01603962984188,False,False
with_quadrupole_misalignment_gtpsa_noisy_corrected,with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_ridge,3,32,7296,24.390676952889585,22.902518119383153,33.45789082457071,24.275476091089274,53.534848006978,63.413795106218814,83.36010752542329,129.16816114820668,0.8726699561403509,33.17441024692192,38.09184025611218,59.85003614333585,False,False
with_quadrupole_misalignment_gtpsa_noisy_corrected,with_quadrupole_misalignment_gtpsa_noisy_corrected,shared_joint_random_feature,3,32,7296,24.561712078565016,22.657391023550694,33.41608996014349,24.257888150978474,53.530553592652446,63.46066579321842,84.38187844887797,129.5124892049683,0.8756853070175439,33.35913707238694,37.97399456738339,59.714071292200444,False,False
