target_index,target,rows,columns,numerical_rank,sigma_1,sigma_2,condition_number,column_cosine
1,SEX_09AW,304,2,2,27.376160655088427,27.376160655088423,1.0000000000000002,-5.435425053255302e-26
2,SEX_10W,304,2,2,33.686214116614515,33.68621411661447,1.0000000000000013,3.6775339232287436e-26
3,SEX_10AW,304,2,2,30.92609789917123,30.92609789917122,1.0000000000000002,-3.8592857759024553e-28
4,SEX_12W,304,2,2,21.679824516638917,21.679824516638913,1.0000000000000002,-1.1923173434404806e-28
5,SEX_13W,304,2,2,31.097416722434577,31.097416722434527,1.0000000000000016,-1.1824550690744375e-26
6,SEX_14W,304,2,2,23.952544554339788,23.952544554339777,1.0000000000000004,-1.3393427978843094e-27
7,SEX_15W,304,2,2,25.58132136715424,25.581321367154235,1.0000000000000002,-1.4420829188360089e-27
8,SEX_16W,304,2,2,23.636334974010644,23.636334974010644,1.0,-2.32393272888808e-27
9,SEX_17W,304,2,2,31.543768810605336,31.5437688106053,1.000000000000001,-6.432376382858189e-27
10,SEX_18W,304,2,2,22.981368671876105,22.98136867187608,1.000000000000001,2.4231349116788932e-25
11,SEX_19W,304,2,2,30.133765829948192,30.133765829948146,1.0000000000000016,-3.64623790767547e-27
12,SEX_20W,304,2,2,22.24570978142794,22.24570978142794,1.0,1.4486925201089822e-27
13,SEX_21W,304,2,2,30.218816119634788,30.21881611963471,1.0000000000000027,-4.714318428928053e-27
14,SEX_22W,304,2,2,25.47048025684234,25.470480256842333,1.0000000000000002,2.5402876704952443e-27
15,SEX_23W,304,2,2,22.80952094267161,22.809520942671607,1.0000000000000002,8.113221201990898e-28
16,SEX_24W,304,2,2,22.489948020407276,22.489948020407258,1.0000000000000009,-8.803040416289446e-27
17,SEX_25W,304,2,2,32.13279872225242,32.13279872225231,1.0000000000000033,-1.3186575928926112e-27
18,SEX_26W,304,2,2,22.254440410809977,22.254440410809973,1.0000000000000002,-1.0736380663791837e-27
19,SEX_27W,304,2,2,19.275761015081997,19.275761015081976,1.000000000000001,2.9776119477829184e-26
20,SEX_28W,304,2,2,21.217404809108274,21.217404809108267,1.0000000000000004,1.7724496035820068e-26
21,SEX_29W,304,2,2,34.36253750198623,34.36253750198619,1.0000000000000013,1.930063104215328e-27
22,SEX_30W,304,2,2,25.03324019065834,25.033240190658294,1.0000000000000018,-9.635490404107968e-27
23,SEX_31W,304,2,2,20.037221938733513,20.037221938733495,1.0000000000000009,-1.6331557601781208e-26
24,SEX_32W,304,2,2,20.806553101471806,20.806553101471803,1.0000000000000002,-6.75532381547503e-28
25,SEX_33W,304,2,2,33.20605031954381,33.2060503195438,1.0000000000000004,-2.590064900221847e-26
26,SEX_34W,304,2,2,31.691212071168916,31.691212071168913,1.0000000000000002,1.197811496433676e-26
27,SEX_35W,304,2,2,33.64480183096923,33.64480183096918,1.0000000000000016,-5.526383273248983e-26
28,SEX_36W,304,2,2,20.338635659968624,20.33863565996862,1.0000000000000002,4.659858170401314e-28
29,SEX_37W,304,2,2,25.84276629769506,25.84276629769504,1.0000000000000009,3.1329887305035007e-27
30,SEX_38W,304,2,2,24.195089510629824,24.195089510629824,1.0,5.119840287544621e-27
31,SEX_39W,304,2,2,23.94270608368331,23.942706083683277,1.0000000000000013,4.173342126428638e-27
32,SEX_40W,304,2,2,22.53467583047654,22.53467583047654,1.0,-6.259640544810337e-26
33,SEX_41W,304,2,2,25.611166305467297,25.61116630546727,1.000000000000001,6.82820440416083e-27
34,SEX_42W,304,2,2,23.591254155855154,23.591254155855143,1.0000000000000004,2.808531510017681e-28
35,SEX_43W,304,2,2,32.78163291537659,32.78163291537647,1.0000000000000038,-8.589100761417325e-27
36,SEX_44W,304,2,2,28.70197490653165,28.701974906531596,1.0000000000000018,-1.582144769174256e-26
37,SEX_45W,304,2,2,23.350714468553086,23.350714468553075,1.0000000000000004,-1.2587916172303853e-25
38,SEX_47W,304,2,2,20.60622928781698,20.606229287816976,1.0000000000000002,-2.327787636553477e-27
39,SEX_47E,304,2,2,21.045589196820327,21.045589196820323,1.0000000000000002,-6.846674970792016e-28
40,SEX_45E,304,2,2,24.004233603332167,24.004233603332104,1.0000000000000027,4.244169445916933e-26
41,SEX_44E,304,2,2,31.384010923441494,31.384010923441494,1.0,-1.8022389914783419e-28
42,SEX_43E,304,2,2,38.19326951018944,38.19326951018923,1.0000000000000053,3.341427335466667e-27
43,SEX_42E,304,2,2,27.426175088889305,27.426175088889305,1.0,1.492741827088004e-28
44,SEX_41E,304,2,2,25.217950488619067,25.217950488619064,1.0000000000000002,-5.322721029643358e-27
45,SEX_40E,304,2,2,22.206725532682167,22.206725532682153,1.0000000000000007,-9.092135358100761e-27
46,SEX_39E,304,2,2,26.28301342238933,26.283013422389274,1.0000000000000022,-1.7557722552847582e-26
47,SEX_38E,304,2,2,20.893476439294563,20.893476439294552,1.0000000000000004,-5.002710236871278e-27
48,SEX_37E,304,2,2,25.892451528873643,25.89245152887364,1.0000000000000002,-1.0036134235849908e-27
49,SEX_36E,304,2,2,22.376497838088746,22.37649783808872,1.000000000000001,-1.0874675975908608e-27
50,SEX_35E,304,2,2,25.784358453015876,25.78435845301587,1.0000000000000002,-5.6286359223710086e-27
51,SEX_34E,304,2,2,24.6788331274454,24.678833127445397,1.0000000000000002,-1.433098094902492e-27
52,SEX_33E,304,2,2,31.406758437409838,31.406758437409806,1.000000000000001,3.045186656268132e-26
53,SEX_32E,304,2,2,21.98580285402163,21.985802854021628,1.0000000000000002,-1.5165696665434852e-28
54,SEX_31E,304,2,2,22.20243848498152,22.202438484981467,1.0000000000000024,-2.183975341120552e-27
55,SEX_30E,304,2,2,22.181919038182574,22.18191903818256,1.0000000000000007,4.820534421960602e-28
56,SEX_29E,304,2,2,29.79024062581226,29.79024062581225,1.0000000000000004,3.939230528268726e-27
57,SEX_28E,304,2,2,23.77712308532333,23.777123085323286,1.0000000000000018,1.1578377776731356e-26
58,SEX_27E,304,2,2,22.367619166577455,22.367619166577406,1.0000000000000022,-7.9599032662183395e-28
59,SEX_26E,304,2,2,18.539923322210058,18.539923322210058,1.0,-2.8991299660826094e-27
60,SEX_25E,304,2,2,26.543932381437212,26.543932381437205,1.0000000000000002,1.1681289080502826e-26
61,SEX_24E,304,2,2,24.258057771438143,24.258057771438136,1.0000000000000002,-4.7858869634381315e-27
62,SEX_23E,304,2,2,28.842389357401256,28.842389357401185,1.0000000000000024,4.355729318406712e-28
63,SEX_22E,304,2,2,24.48395908724441,24.4839590872444,1.0000000000000004,3.7941484815759664e-27
64,SEX_21E,304,2,2,24.66163320702726,24.66163320702723,1.0000000000000013,-1.070512551499834e-27
65,SEX_20E,304,2,2,19.446606477492317,19.446606477492306,1.0000000000000004,9.522139423663035e-27
66,SEX_19E,304,2,2,24.94283494665487,24.94283494665486,1.0000000000000004,-4.36278888832268e-27
67,SEX_18E,304,2,2,22.452699910123208,22.452699910123208,1.0,-1.237441504206504e-26
68,SEX_17E,304,2,2,29.37809167746335,29.378091677463114,1.000000000000008,-3.0542429030609525e-27
69,SEX_16E,304,2,2,22.26163671912964,22.26163671912963,1.0000000000000004,-6.568267623725696e-27
70,SEX_15E,304,2,2,20.88414219007017,20.88414219007016,1.0000000000000004,-9.755996854555814e-28
71,SEX_14E,304,2,2,21.728012609823097,21.72801260982305,1.0000000000000022,2.0571416511489518e-26
72,SEX_13E,304,2,2,28.852681688231364,28.852681688231357,1.0000000000000002,-5.71487120667429e-27
73,SEX_12E,304,2,2,21.72800812112002,21.728008121120016,1.0000000000000002,2.630726410717279e-29
74,SEX_11E,304,2,2,30.61123687305309,30.611236873053052,1.0000000000000013,-2.2866201531722283e-27
75,SEX_10AE,304,2,2,32.29254485229998,32.29254485229998,1.0,5.190039343058625e-29
76,SEX_09AE,304,2,2,30.921265238416723,30.92126523841672,1.0000000000000002,6.080367621456388e-28
