matrix,mode,singular_value,energy_fraction,cumulative_energy_fraction
bump_152x152,1,48.45420549748525,0.3508517610485177,0.3508517610485177
bump_152x152,2,31.70695633060415,0.15023454845212414,0.5010863095006418
bump_152x152,3,29.455319867833964,0.12965467880368917,0.630740988304331
bump_152x152,4,26.717884565230047,0.10667553886421646,0.7374165271685474
bump_152x152,5,25.13742978540384,0.0944283602229802,0.8318448873915276
bump_152x152,6,23.401023782682454,0.08183336749188938,0.913678254883417
bump_152x152,7,22.611461313051844,0.07640432934008455,0.9900825842235016
bump_152x152,8,7.272471023488682,0.007903595514450523,0.9979861797379521
bump_152x152,9,2.7040994297613117,0.0010927127742989054,0.999078892512251
bump_152x152,10,2.2103807025940716,0.0007301210468365636,0.9998090135590876
bump_152x152,11,0.9751767219879965,0.00014211088983578061,0.9999511244489233
bump_152x152,12,0.5718708283341801,4.8871604070978365e-05,0.9999999960529943
bump_152x152,13,0.005051554240043906,3.813385826421774e-09,0.9999999998663801
bump_152x152,14,0.0009455947696403508,1.3361980379910783e-10,0.9999999999999999
bump_152x152,15,2.0627090528436255e-14,6.35823618482739e-32,0.9999999999999999
bump_152x152,16,2.022345972205473e-14,6.111834925345261e-32,0.9999999999999999
bump_152x152,17,1.9161231145345735e-14,5.486653409788596e-32,0.9999999999999999
bump_152x152,18,1.8349440875933673e-14,5.031603122206121e-32,0.9999999999999999
bump_152x152,19,1.7270016438288937e-14,4.457036687568527e-32,0.9999999999999999
bump_152x152,20,1.5740372446729498e-14,3.7024629030280725e-32,0.9999999999999999
bump_152x152,21,1.427176874277882e-14,3.043801360135502e-32,0.9999999999999999
bump_152x152,22,1.282894227395617e-14,2.4594749804639523e-32,0.9999999999999999
bump_152x152,23,1.2286081291528086e-14,2.2557318731500205e-32,0.9999999999999999
bump_152x152,24,1.2123584721393592e-14,2.1964575309781482e-32,0.9999999999999999
bump_152x152,25,1.0900077485587134e-14,1.7754967329756255e-32,0.9999999999999999
bump_152x152,26,9.891295979914042e-15,1.4620664187123953e-32,0.9999999999999999
bump_152x152,27,9.234063526255114e-15,1.2742258843746725e-32,0.9999999999999999
bump_152x152,28,9.128284898803731e-15,1.2451999066010492e-32,0.9999999999999999
bump_152x152,29,8.822935593964397e-15,1.1632871344275617e-32,0.9999999999999999
bump_152x152,30,8.626127613519126e-15,1.1119684484441477e-32,0.9999999999999999
bump_152x152,31,8.305793656123615e-15,1.030915293064349e-32,0.9999999999999999
bump_152x152,32,8.05112215977603e-15,9.686648473114612e-33,0.9999999999999999
bump_152x152,33,7.720712744109813e-15,8.90790334216886e-33,0.9999999999999999
bump_152x152,34,7.340551522399431e-15,8.052265565689158e-33,0.9999999999999999
bump_152x152,35,6.959354000273341e-15,7.237666431474378e-33,0.9999999999999999
bump_152x152,36,6.854798099525228e-15,7.02182565815201e-33,0.9999999999999999
bump_152x152,37,6.749472664411678e-15,6.807699741064252e-33,0.9999999999999999
bump_152x152,38,6.4949800425228305e-15,6.304002096500116e-33,0.9999999999999999
bump_152x152,39,6.235019532454481e-15,5.809467730709711e-33,0.9999999999999999
bump_152x152,40,5.925762618736991e-15,5.247460849527752e-33,0.9999999999999999
bump_152x152,41,5.888365615600695e-15,5.18143725144666e-33,0.9999999999999999
bump_152x152,42,5.719893026353226e-15,4.889185559845759e-33,0.9999999999999999
bump_152x152,43,5.689128749354123e-15,4.8367343114713456e-33,0.9999999999999999
bump_152x152,44,5.257990894930979e-15,4.1314296928340935e-33,0.9999999999999999
bump_152x152,45,5.136876371801528e-15,3.9432919719057e-33,0.9999999999999999
bump_152x152,46,5.043077103544463e-15,3.8005978935919906e-33,0.9999999999999999
bump_152x152,47,4.9192875857235124e-15,3.6163056682861635e-33,0.9999999999999999
bump_152x152,48,4.833453388412814e-15,3.491208422820519e-33,0.9999999999999999
bump_152x152,49,4.6771472989782985e-15,3.2690593256579696e-33,0.9999999999999999
bump_152x152,50,4.495110078080805e-15,3.019544051411624e-33,0.9999999999999999
