control_index,corrector,field,total_length_m
1,VX4A,Ks0,0.0762
2,HX4A,Kn0,0.169
3,HX4B,Kn0,0.169
4,VX4B,Ks0,0.268
5,VX4C,Ks0,0.268
6,HX4C,Kn0,0.169
7,HX4D,Kn0,0.169
8,VX4D,Ks0,0.0762
9,VX5A,Ks0,0.0762
10,HX5A,Kn0,0.169
11,HX5B,Kn0,0.169
12,VX5B,Ks0,0.268
13,VX5C,Ks0,0.268
14,HX5C,Kn0,0.169
15,HX5D,Kn0,0.169
16,VX5D,Ks0,0.0762
17,VX6A,Ks0,0.0762
18,HX6A,Kn0,0.169
19,HX6B,Kn0,0.169
20,VX6B,Ks0,0.268
21,VX6C,Ks0,0.268
22,HX6C,Kn0,0.169
23,HX6D,Kn0,0.169
24,VX6D,Ks0,0.0762
25,HKICK_9AW,Kn0,0.064
26,FDBK_10W1_V,Ks0,1.2785
27,FDBK_10W2_H,Kn0,1.2775
28,HKICK_48W,Kn0,0.24448
29,CHICANE_49W1,Kn0,0.3429
30,CHICANE_49W2,Kn0,0.3429
31,CHICANE_49W3,Kn0,0.3429
32,CHICANE_49W4,Kn0,0.3429
33,VKICK_49E,Ks0,0.1727
34,HKICK_48E,Kn0,0.24765
35,DOG_LEG_14E2,Kn0,0.24448
36,DOG_LEG_14E1,Kn0,0.24448
37,HKICK_9AE,Kn0,0.0635
38,HKICK_9E,Kn0,0.0635
39,VX1A,Ks0,0.0762
40,HX1A,Kn0,0.169
41,HX1B,Kn0,0.169
42,VX1B,Ks0,0.268
43,VX1C,Ks0,0.268
44,HX1C,Kn0,0.169
45,HX1D,Kn0,0.169
46,VX1D,Ks0,0.0762
47,VX2A,Ks0,0.0762
48,HX2A,Kn0,0.169
49,HX2B,Kn0,0.169
50,VX2B,Ks0,0.268
51,VX2C,Ks0,0.268
52,HX2C,Kn0,0.169
53,HX2D,Kn0,0.169
54,VX2D,Ks0,0.0762
55,VX3A,Ks0,0.0762
56,HX3A,Kn0,0.169
57,HX3B,Kn0,0.169
58,VX3B,Ks0,0.268
59,VX3C,Ks0,0.268
60,HX3C,Kn0,0.169
61,HX3D,Kn0,0.169
62,VX3D,Ks0,0.0762
