target_index,target,line_index,s_m,length_m,nominal_kn2_m3,nominal_orbit_x_m,nominal_orbit_y_m
1,SEX_09AW,180,50.513,0.272,2.2518524157,-9.439896909465462e-16,1.382225588497575e-28
2,SEX_10W,190,52.359,0.272,-0.88481441424,-6.890935893619423e-16,1.7498784865913418e-28
3,SEX_10AW,210,59.10438500000001,0.272,-0.40869099257,-6.562792719014898e-16,7.187900649868978e-29
4,SEX_12W,232,77.12288200000002,0.272,1.6631668268,9.200561106545641e-14,-4.289928488836418e-29
5,SEX_13W,238,85.42484500000002,0.272,-2.3583201266,4.475214618348957e-14,-1.554381297904635e-28
6,SEX_14W,254,92.33155300000003,0.272,1.4994449487,6.345071742211712e-14,-8.286731410956441e-29
7,SEX_15W,273,102.26329400000003,0.272,-3.46559266,1.2500849542587029e-14,-1.1710666184406386e-28
8,SEX_16W,279,110.46949700000003,0.272,1.4266503322,1.5240650370449377e-14,-3.907336679060105e-29
9,SEX_17W,287,118.67059200000004,0.272,-2.8268719908,2.8314764536445177e-14,-2.2350002199260897e-29
10,SEX_18W,295,126.86934400000005,0.272,0.85652171945,1.0527526779515755e-13,5.29282607503205e-29
11,SEX_19W,303,133.53465100000005,0.272,-1.6304437559,4.923356845437876e-14,1.6406328980643117e-28
12,SEX_20W,309,141.74255400000004,0.272,1.2829218899000001,6.97238081560218e-14,8.391556491893157e-29
13,SEX_21W,317,149.94449100000006,0.272,-3.7855316517,2.5004398050944458e-14,1.141672173762261e-28
14,SEX_22W,325,158.15117800000007,0.272,2.6979882639,3.657265108076464e-14,3.4956373739100626e-29
15,SEX_23W,333,166.3549160000001,0.272,-3.8314179092,2.520303097844915e-14,1.1167734544949054e-29
16,SEX_24W,345,176.5575180000001,0.272,2.5186532378,7.711126775077275e-14,-2.2412105392687304e-29
17,SEX_25W,353,184.7633210000001,0.272,-1.6952422180000002,3.2255021052782336e-14,-7.377779441068233e-29
18,SEX_26W,361,192.9697580000001,0.272,1.3343819263,6.135990011093543e-14,5.453421582580994e-30
19,SEX_27W,371,201.39945100000008,0.272,-2.9797248594,2.620628545912926e-14,8.568746028930416e-29
20,SEX_28W,379,209.60265400000006,0.272,0.80778748886,5.2989194921440274e-14,8.014394196829746e-29
21,SEX_29W,389,218.03087800000006,0.272,-3.201610386,3.510512042368184e-14,1.7987054017690434e-28
22,SEX_30W,399,227.31508200000005,0.272,0.048590869094000004,9.051049019449985e-14,6.856870614021441e-29
23,SEX_31W,407,235.74654100000004,0.272,-2.5641976511,4.8728731861805295e-14,6.223349818029008e-29
24,SEX_32W,415,243.94574300000002,0.272,0.5871950287800001,7.994992334984912e-14,1.9636958775191828e-29
25,SEX_33W,423,252.378452,0.272,-0.60060141926,6.181748762178443e-14,-6.834740372238788e-31
26,SEX_34W,433,258.32096800000005,0.272,0.3744930525,9.979705824485927e-14,5.576443151939075e-30
27,SEX_35W,439,266.247907,0.272,-0.60431777341,4.5743682918421056e-14,2.0110296446367678e-29
28,SEX_36W,455,277.2196100000001,0.272,0.65015399745,6.616675228991435e-14,4.383593815629875e-29
29,SEX_37W,463,285.23481400000014,0.272,-0.89662999019,2.512840798784327e-14,1.080679246025543e-28
30,SEX_38W,471,293.43722000000014,0.272,1.9679611356000002,4.038496264166603e-14,6.95712925828719e-29
31,SEX_39W,479,301.8666330000001,0.272,-2.056000129,2.6653845026562888e-14,1.280795384441903e-28
32,SEX_40W,487,310.0725710000001,0.272,-0.21122722772,7.420863054211397e-14,2.5913706839188646e-29
33,SEX_41W,495,318.2775080000001,0.272,-3.5783485599,3.0046639023987854e-14,-2.6219032121211173e-29
34,SEX_42W,503,326.4824450000001,0.272,1.8268857039,4.8852479683211815e-14,-3.606338531719325e-29
