last_passing_radius,first_failing_radius,scan_cap_lower_bound,maximum_tested_radius,target,map_source,taylor_order,direction_family,last_passing_physical_limit
1.25,1.5,False,20.0,SEX_09AW,direct_gtpsa,1,x_axis,1.25
1.5,2.0,False,20.0,SEX_09AW,direct_gtpsa,1,y_axis,1.5
20.0,,True,20.0,SEX_09AW,direct_gtpsa,1,k_axis,2.0
0.5,0.75,False,20.0,SEX_09AW,direct_gtpsa,1,xy_diagonal,0.5
0.75,1.0,False,20.0,SEX_09AW,direct_gtpsa,1,xk_protocol,0.75
1.0,1.25,False,20.0,SEX_09AW,direct_gtpsa,1,yk_protocol,1.0
1.25,1.5,False,20.0,SEX_09AW,direct_gtpsa,1,x_bump_fixed_k,1.25
1.5,2.0,False,20.0,SEX_09AW,direct_gtpsa,1,y_bump_fixed_k,1.5
0.0,0.25,False,20.0,SEX_09AW,direct_gtpsa,1,k_fixed_x_bump,0.0
12.0,15.0,False,20.0,SEX_09AW,direct_gtpsa,1,k_fixed_y_bump,1.2000000000000002
0.5,0.75,False,1.5,SEX_09AW,direct_gtpsa,1,xyk_inner_fit,0.5
0.25,0.5,False,1.5,SEX_09AW,direct_gtpsa,1,xy_asymmetric_inner_fit,0.25
10.0,12.0,False,20.0,SEX_09AW,direct_gtpsa,2,x_axis,10.0
5.0,6.0,False,20.0,SEX_09AW,direct_gtpsa,2,y_axis,5.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,2,k_axis,2.0
6.0,8.0,False,20.0,SEX_09AW,direct_gtpsa,2,xy_diagonal,6.0
2.5,3.0,False,20.0,SEX_09AW,direct_gtpsa,2,xk_protocol,2.5
2.5,3.0,False,20.0,SEX_09AW,direct_gtpsa,2,yk_protocol,2.5
6.0,8.0,False,20.0,SEX_09AW,direct_gtpsa,2,x_bump_fixed_k,6.0
5.0,6.0,False,20.0,SEX_09AW,direct_gtpsa,2,y_bump_fixed_k,5.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,2,k_fixed_x_bump,2.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,2,k_fixed_y_bump,2.0
1.5,,True,1.5,SEX_09AW,direct_gtpsa,2,xyk_inner_fit,1.5
1.5,,True,1.5,SEX_09AW,direct_gtpsa,2,xy_asymmetric_inner_fit,1.5
12.0,15.0,False,20.0,SEX_09AW,direct_gtpsa,3,x_axis,12.0
12.0,15.0,False,20.0,SEX_09AW,direct_gtpsa,3,y_axis,12.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,3,k_axis,2.0
12.0,15.0,False,20.0,SEX_09AW,direct_gtpsa,3,xy_diagonal,12.0
6.0,8.0,False,20.0,SEX_09AW,direct_gtpsa,3,xk_protocol,6.0
6.0,8.0,False,20.0,SEX_09AW,direct_gtpsa,3,yk_protocol,6.0
12.0,15.0,False,20.0,SEX_09AW,direct_gtpsa,3,x_bump_fixed_k,12.0
12.0,15.0,False,20.0,SEX_09AW,direct_gtpsa,3,y_bump_fixed_k,12.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,3,k_fixed_x_bump,2.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,3,k_fixed_y_bump,2.0
1.5,,True,1.5,SEX_09AW,direct_gtpsa,3,xyk_inner_fit,1.5
1.5,,True,1.5,SEX_09AW,direct_gtpsa,3,xy_asymmetric_inner_fit,1.5
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,x_axis,20.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,y_axis,20.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,k_axis,2.0
15.0,20.0,False,20.0,SEX_09AW,direct_gtpsa,4,xy_diagonal,15.0
8.0,10.0,False,20.0,SEX_09AW,direct_gtpsa,4,xk_protocol,8.0
8.0,10.0,False,20.0,SEX_09AW,direct_gtpsa,4,yk_protocol,8.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,x_bump_fixed_k,20.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,y_bump_fixed_k,20.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,k_fixed_x_bump,2.0
20.0,,True,20.0,SEX_09AW,direct_gtpsa,4,k_fixed_y_bump,2.0
1.5,,True,1.5,SEX_09AW,direct_gtpsa,4,xyk_inner_fit,1.5
1.5,,True,1.5,SEX_09AW,direct_gtpsa,4,xy_asymmetric_inner_fit,1.5
1.25,1.5,False,20.0,SEX_10W,direct_gtpsa,1,x_axis,1.25
1.25,1.5,False,20.0,SEX_10W,direct_gtpsa,1,y_axis,1.25
20.0,,True,20.0,SEX_10W,direct_gtpsa,1,k_axis,2.0
0.25,0.5,False,20.0,SEX_10W,direct_gtpsa,1,xy_diagonal,0.25
0.75,1.0,False,20.0,SEX_10W,direct_gtpsa,1,xk_protocol,0.75
0.75,1.0,False,20.0,SEX_10W,direct_gtpsa,1,yk_protocol,0.75
1.25,1.5,False,20.0,SEX_10W,direct_gtpsa,1,x_bump_fixed_k,1.25
1.25,1.5,False,20.0,SEX_10W,direct_gtpsa,1,y_bump_fixed_k,1.25
0.0,0.25,False,20.0,SEX_10W,direct_gtpsa,1,k_fixed_x_bump,0.0
0.0,0.25,False,20.0,SEX_10W,direct_gtpsa,1,k_fixed_y_bump,0.0
0.25,0.5,False,1.5,SEX_10W,direct_gtpsa,1,xyk_inner_fit,0.25
0.25,0.5,False,1.5,SEX_10W,direct_gtpsa,1,xy_asymmetric_inner_fit,0.25
8.0,10.0,False,20.0,SEX_10W,direct_gtpsa,2,x_axis,8.0
8.0,10.0,False,20.0,SEX_10W,direct_gtpsa,2,y_axis,8.0
20.0,,True,20.0,SEX_10W,direct_gtpsa,2,k_axis,2.0
3.0,4.0,False,20.0,SEX_10W,direct_gtpsa,2,xy_diagonal,3.0
2.5,3.0,False,20.0,SEX_10W,direct_gtpsa,2,xk_protocol,2.5
2.5,3.0,False,20.0,SEX_10W,direct_gtpsa,2,yk_protocol,2.5
6.0,8.0,False,20.0,SEX_10W,direct_gtpsa,2,x_bump_fixed_k,6.0
6.0,8.0,False,20.0,SEX_10W,direct_gtpsa,2,y_bump_fixed_k,6.0
20.0,,True,20.0,SEX_10W,direct_gtpsa,2,k_fixed_x_bump,2.0
20.0,,True,20.0,SEX_10W,direct_gtpsa,2,k_fixed_y_bump,2.0
1.25,1.5,False,1.5,SEX_10W,direct_gtpsa,2,xyk_inner_fit,1.25
1.5,,True,1.5,SEX_10W,direct_gtpsa,2,xy_asymmetric_inner_fit,1.5
8.0,10.0,False,20.0,SEX_10W,direct_gtpsa,3,x_axis,8.0
12.0,15.0,False,20.0,SEX_10W,direct_gtpsa,3,y_axis,12.0
20.0,,True,20.0,SEX_10W,direct_gtpsa,3,k_axis,2.0
8.0,10.0,False,20.0,SEX_10W,direct_gtpsa,3,xy_diagonal,8.0
5.0,6.0,False,20.0,SEX_10W,direct_gtpsa,3,xk_protocol,5.0
4.0,5.0,False,20.0,SEX_10W,direct_gtpsa,3,yk_protocol,4.0
8.0,10.0,False,20.0,SEX_10W,direct_gtpsa,3,x_bump_fixed_k,8.0
12.0,15.0,False,20.0,SEX_10W,direct_gtpsa,3,y_bump_fixed_k,12.0
