target,map_source,training_state_count,training_design_rank,training_condition_number,training_position_rmse_um,training_angle_rmse_urad,direct_vs_fit_coefficient_relative_l2
SEX_09AW,direct_gtpsa,277,35,61.582681649861755,1.6233531665457192e-05,4.03141658141575e-06,4.064443633024815e-08
SEX_10W,direct_gtpsa,277,35,61.582681649861755,3.536683550606515e-05,3.973663262863471e-06,9.363879860512361e-08
SEX_10AW,direct_gtpsa,277,35,61.582681649861755,5.337077695794809e-05,5.489039150169244e-06,1.3553285167775933e-07
SEX_12W,direct_gtpsa,277,35,61.582681649861755,0.00014246554589285337,1.6537094395355516e-05,3.587462465387242e-07
SEX_13W,direct_gtpsa,277,35,61.582681649861755,0.00011583601039218933,3.565572339274251e-05,4.918195804317964e-07
SEX_14W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.00010961627214590602,1.4414434355454471e-05,
SEX_15W,direct_gtpsa,277,35,61.582681649861755,9.039275861974547e-05,2.6174973987609797e-05,3.642037011149566e-07
SEX_16W,direct_gtpsa,277,35,61.582681649861755,6.247036041822565e-05,1.107507977947435e-05,1.6878673330605166e-07
SEX_17W,direct_gtpsa,277,35,61.582681649861755,0.0003351374317671585,0.00013285102977421927,1.7264368730371622e-06
SEX_18W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.010288067714515287,0.0037412483764856135,
SEX_19W,direct_gtpsa,277,35,61.582681649861755,9.400065932326209e-05,1.0372649491638758e-05,3.212894774776749e-07
SEX_20W,exact_scan_fitted_fallback,277,35,61.582681649861755,9.96469899077296e-05,1.820946572932148e-05,
SEX_21W,direct_gtpsa,277,35,61.582681649861755,0.0003752705076955559,2.923063898810491e-05,1.6408363434452654e-06
SEX_22W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.00033370177398180263,4.077523127725249e-05,
SEX_23W,direct_gtpsa,277,35,61.582681649861755,9.086103571698611e-05,3.562194013688453e-05,5.680953559260899e-07
SEX_24W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.0004563235279940799,0.00013025965478764162,
SEX_25W,direct_gtpsa,277,35,61.582681649861755,0.00019046041440796713,0.00013736642638917233,1.1918933036142288e-06
SEX_26W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.0005521880481082702,6.171629158284876e-05,
SEX_27W,direct_gtpsa,277,35,61.582681649861755,0.00025167931602194216,2.033938726993933e-05,9.283909120833112e-07
SEX_28W,direct_gtpsa,277,35,61.582681649861755,0.00012484873411747844,3.0635488654637554e-05,2.4920925281513917e-07
SEX_29W,direct_gtpsa,277,35,61.582681649861755,9.480442882804781e-05,1.3596173725356773e-05,4.3315261285041746e-07
SEX_30W,direct_gtpsa,277,35,61.582681649861755,0.0002120539216172026,2.7880236140971503e-05,4.3857654096216457e-07
SEX_31W,direct_gtpsa,277,35,61.582681649861755,0.00014014571376891774,3.463464709445202e-05,5.60567629650053e-07
SEX_32W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.00010558565615829232,1.3629884046245864e-05,
SEX_33W,direct_gtpsa,277,35,61.582681649861755,5.4720319462721696e-05,6.180909331638281e-06,1.7788665501981443e-07
SEX_34W,exact_scan_fitted_fallback,277,35,61.582681649861755,7.041664268651148e-05,5.565637166274341e-06,
SEX_35W,direct_gtpsa,277,35,61.582681649861755,0.00013583281039833588,5.728760082726867e-06,4.5419233499474783e-07
SEX_36W,direct_gtpsa,277,35,61.582681649861755,5.805411190948796e-05,6.714600785865558e-06,1.3474179828313544e-07
SEX_37W,direct_gtpsa,277,35,61.582681649861755,5.773613979912074e-05,1.2826307919494692e-05,1.2608542217829101e-07
SEX_38W,direct_gtpsa,277,35,61.582681649861755,0.00020087233445170206,3.4326455917608946e-05,5.364562801775165e-07
SEX_39W,direct_gtpsa,277,35,61.582681649861755,0.0011646112465305146,0.00015606255775182094,5.608253196029031e-06
SEX_40W,direct_gtpsa,277,35,61.582681649861755,0.0003298572231736634,9.82790683976089e-05,9.374302560288579e-07
SEX_41W,direct_gtpsa,277,35,61.582681649861755,0.00013343030888914799,2.046772648628624e-05,5.365952242111026e-07
SEX_42W,direct_gtpsa,277,35,61.582681649861755,0.00012577731162647098,1.3111973056402166e-05,2.300007023682729e-07
SEX_43W,direct_gtpsa,277,35,61.582681649861755,0.00011267071135150968,3.110282452493395e-05,6.26223478239999e-07
SEX_44W,exact_scan_fitted_fallback,277,35,61.582681649861755,0.00010884816320214369,3.672457500879407e-05,
SEX_45W,direct_gtpsa,277,35,61.582681649861755,0.00028158877358883973,4.2927831320145695e-05,6.651749576766907e-07
SEX_47W,direct_gtpsa,277,35,61.582681649861755,5.624095127160815e-05,1.0196875955337008e-05,2.0500966503824225e-07
SEX_47E,direct_gtpsa,277,35,61.582681649861755,4.552222064063688e-05,6.071071343580824e-06,9.543242932988148e-08
SEX_45E,direct_gtpsa,277,35,61.582681649861755,0.0008500661388975426,7.532246484387611e-05,2.048153174877718e-06
SEX_44E,exact_scan_fitted_fallback,277,35,61.582681649861755,0.00012173225144321508,2.4395523432065706e-05,
SEX_43E,direct_gtpsa,277,35,61.582681649861755,8.789164912690821e-05,1.4737799360506549e-05,1.8785712865963342e-07
SEX_42E,direct_gtpsa,277,35,61.582681649861755,0.0002066932574776017,1.864119924212792e-05,3.937671770308226e-07
SEX_41E,direct_gtpsa,277,35,61.582681649861755,0.00018338410106138117,2.9340473898323788e-05,8.32598260602523e-07
