target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_10AW,entry,x,0,0,0,0,-7.309560241862999e-16
SEX_10AW,entry,x,0,0,1,1,2.622981785638288e-32
SEX_10AW,entry,x,0,1,0,1,-2.1898291398151833e-19
SEX_10AW,entry,x,1,0,0,1,0.0009999999999993569
SEX_10AW,entry,x,0,0,2,2,-1.9113100932426616e-48
SEX_10AW,entry,x,0,1,1,2,-7.174389263623352e-33
SEX_10AW,entry,x,0,2,0,2,8.209446059052127e-6
SEX_10AW,entry,x,1,0,1,2,-7.254951928876624e-20
SEX_10AW,entry,x,1,1,0,2,1.7803228689016466e-20
SEX_10AW,entry,x,2,0,0,2,-1.1238142502446858e-6
SEX_10AW,entry,x,0,0,3,3,1.7400726310572306e-64
SEX_10AW,entry,x,0,1,2,3,-8.005360804352576e-49
SEX_10AW,entry,x,0,2,1,3,-5.219896436724515e-8
SEX_10AW,entry,x,0,3,0,3,4.814209029311545e-22
SEX_10AW,entry,x,1,0,2,3,7.930257131028161e-36
SEX_10AW,entry,x,1,1,1,3,9.194032630771131e-23
SEX_10AW,entry,x,1,2,0,3,1.0908549370000754e-7
SEX_10AW,entry,x,2,0,1,3,5.016860592418319e-8
SEX_10AW,entry,x,2,1,0,3,3.206420016735518e-22
SEX_10AW,entry,x,3,0,0,3,1.0326609984873851e-8
SEX_10AW,entry,x,0,0,4,4,-1.774123267430191e-80
SEX_10AW,entry,x,0,1,3,4,-8.925707866209414e-65
SEX_10AW,entry,x,0,2,2,4,-5.269091302600447e-24
SEX_10AW,entry,x,0,3,1,4,-2.0515264188747883e-23
SEX_10AW,entry,x,0,4,0,4,7.136730002892575e-10
SEX_10AW,entry,x,1,0,3,4,-9.626472502194819e-52
SEX_10AW,entry,x,1,1,2,4,1.0659519293712616e-36
SEX_10AW,entry,x,1,2,1,4,-1.6641461955597792e-9
SEX_10AW,entry,x,1,3,0,4,1.312719736167048e-23
SEX_10AW,entry,x,2,0,2,4,-1.0968016918791416e-23
SEX_10AW,entry,x,2,1,1,4,2.2179523927283926e-23
SEX_10AW,entry,x,2,2,0,4,9.329520404840113e-10
SEX_10AW,entry,x,3,0,1,4,-1.3534184728766842e-9
SEX_10AW,entry,x,3,1,0,4,2.9413832179049478e-24
SEX_10AW,entry,x,4,0,0,4,1.0654020934814754e-10
SEX_10AW,entry,px,0,0,0,0,1.2320088590052195e-16
SEX_10AW,entry,px,0,0,1,1,8.685877585474289e-34
SEX_10AW,entry,px,0,1,0,1,9.529554026829013e-20
SEX_10AW,entry,px,1,0,0,1,-8.886838508667818e-5
SEX_10AW,entry,px,0,0,2,2,-6.33081248646612e-50
SEX_10AW,entry,px,0,1,1,2,-2.7451064299884706e-34
SEX_10AW,entry,px,0,2,0,2,-5.585157957498583e-7
SEX_10AW,entry,px,1,0,1,2,-2.403108398404755e-21
SEX_10AW,entry,px,1,1,0,2,-1.3262766237175944e-21
SEX_10AW,entry,px,2,0,0,2,1.7192328204215724e-7
SEX_10AW,entry,px,0,0,3,3,5.763904625920322e-66
SEX_10AW,entry,px,0,1,2,3,-2.348148058215469e-50
SEX_10AW,entry,px,0,2,1,3,-1.7312209812119364e-9
SEX_10AW,entry,px,0,3,0,3,-4.6714528349426335e-23
SEX_10AW,entry,px,1,0,2,3,2.626969732270253e-37
SEX_10AW,entry,px,1,1,1,3,-1.7502021488593227e-23
SEX_10AW,entry,px,1,2,0,3,-8.661250712318833e-9
SEX_10AW,entry,px,2,0,1,3,1.662230607715342e-9
SEX_10AW,entry,px,2,1,0,3,-2.5453902761747804e-23
SEX_10AW,entry,px,3,0,0,3,-1.2022750970924697e-9
SEX_10AW,entry,px,0,0,4,4,-5.876818296122798e-82
SEX_10AW,entry,px,0,1,3,4,-2.3189855309580905e-66
SEX_10AW,entry,px,0,2,2,4,-1.7493654856069238e-25
SEX_10AW,entry,px,0,3,1,4,1.8405329528744737e-24
SEX_10AW,entry,px,0,4,0,4,-6.63136847924759e-11
SEX_10AW,entry,px,1,0,3,4,-3.188895565450982e-53
SEX_10AW,entry,px,1,1,2,4,2.531220943642399e-38
SEX_10AW,entry,px,1,2,1,4,1.6114919423515134e-10
SEX_10AW,entry,px,1,3,0,4,-1.0139731430487418e-24
SEX_10AW,entry,px,2,0,2,4,-3.6335857168155596e-25
SEX_10AW,entry,px,2,1,1,4,-1.7650737447677694e-24
SEX_10AW,entry,px,2,2,0,4,-5.678593866304486e-11
SEX_10AW,entry,px,3,0,1,4,9.741984197520853e-11
SEX_10AW,entry,px,3,1,0,4,-9.716607935054003e-26
SEX_10AW,entry,px,4,0,0,4,-1.4577032710652108e-11
SEX_10AW,entry,y,0,0,0,0,7.1862654438751e-29
SEX_10AW,entry,y,0,0,1,1,6.245833425922176e-45
SEX_10AW,entry,y,0,1,0,1,0.0009999999999999133
SEX_10AW,entry,y,1,0,0,1,1.5535969695889141e-18
SEX_10AW,entry,y,0,0,2,2,3.220770454666067e-61
SEX_10AW,entry,y,0,1,1,2,8.632357251804626e-20
SEX_10AW,entry,y,0,2,0,2,2.0568660610524337e-20
SEX_10AW,entry,y,1,0,1,2,-8.032265291810375e-33
SEX_10AW,entry,y,1,1,0,2,4.475556441674667e-6
SEX_10AW,entry,y,2,0,0,2,-2.350490790315795e-21
SEX_10AW,entry,y,0,0,3,3,2.5368595934426866e-77
SEX_10AW,entry,y,0,1,2,3,4.357458596943655e-36
SEX_10AW,entry,y,0,2,1,3,2.213645890184127e-22
SEX_10AW,entry,y,0,3,0,3,3.681300885332974e-8
SEX_10AW,entry,y,1,0,2,3,-8.075788545498889e-49
SEX_10AW,entry,y,1,1,1,3,-1.1940753535210047e-7
SEX_10AW,entry,y,1,2,0,3,6.334641402371737e-22
SEX_10AW,entry,y,2,0,1,3,-1.8802438831865796e-22
SEX_10AW,entry,y,2,1,0,3,2.9962897705306824e-8
SEX_10AW,entry,y,3,0,0,3,1.1201788559811344e-23
SEX_10AW,entry,y,0,0,4,4,1.0030342715687604e-93
SEX_10AW,entry,y,0,1,3,4,3.344231176855982e-52
SEX_10AW,entry,y,0,2,2,4,1.2368717772951308e-36
SEX_10AW,entry,y,0,3,1,4,-2.6293220563763557e-9
SEX_10AW,entry,y,0,4,0,4,3.851243680121098e-24
SEX_10AW,entry,y,1,0,3,4,-1.0364188615854479e-64
SEX_10AW,entry,y,1,1,2,4,-1.205694328756258e-23
SEX_10AW,entry,y,1,2,1,4,-3.2662650068254595e-23
SEX_10AW,entry,y,1,3,0,4,2.9840492554837984e-10
SEX_10AW,entry,y,2,0,2,4,4.427357978035907e-37
SEX_10AW,entry,y,2,1,1,4,8.421770481978086e-10
SEX_10AW,entry,y,2,2,0,4,2.2852200902289385e-24
SEX_10AW,entry,y,3,0,1,4,1.7867613119123822e-24
SEX_10AW,entry,y,3,1,0,4,2.78719287209876e-10
SEX_10AW,entry,y,4,0,0,4,1.1962508453329663e-24
SEX_10AW,entry,py,0,0,0,0,-3.52075150143546e-30
SEX_10AW,entry,py,0,0,1,1,1.142213521719478e-45
SEX_10AW,entry,py,0,1,0,1,5.834617617393043e-5
SEX_10AW,entry,py,1,0,0,1,8.100282021834747e-20
SEX_10AW,entry,py,0,0,2,2,5.978768631505279e-62
SEX_10AW,entry,py,0,1,1,2,1.604260448216644e-20
SEX_10AW,entry,py,0,2,0,2,5.72034908314036e-21
SEX_10AW,entry,py,1,0,1,2,-1.5049718259569599e-33
SEX_10AW,entry,py,1,1,0,2,5.805729500864975e-7
SEX_10AW,entry,py,2,0,0,2,-2.6077975221888652e-23
SEX_10AW,entry,py,0,0,3,3,4.5177666361903e-78
SEX_10AW,entry,py,0,1,2,3,8.097867479349265e-37
SEX_10AW,entry,py,0,2,1,3,3.0191679179389676e-23
SEX_10AW,entry,py,0,3,0,3,5.109357153416952e-9
SEX_10AW,entry,py,1,0,2,3,-1.5501484416998857e-49
SEX_10AW,entry,py,1,1,1,3,-2.2191963515350862e-8
SEX_10AW,entry,py,1,2,0,3,8.81132577347324e-23
SEX_10AW,entry,py,2,0,1,3,-4.7282578968754715e-23
SEX_10AW,entry,py,2,1,0,3,1.896993305355978e-9
SEX_10AW,entry,py,3,0,0,3,3.019841983438136e-24
SEX_10AW,entry,py,0,0,4,4,2.1555866743919138e-94
SEX_10AW,entry,py,0,1,3,4,6.214982815058317e-53
SEX_10AW,entry,py,0,2,2,4,2.397408262122245e-37
SEX_10AW,entry,py,0,3,1,4,-3.661140130200163e-10
SEX_10AW,entry,py,0,4,0,4,6.82879861015478e-25
