target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_25E,entry,x,0,0,0,0,3.438570320259834e-14
SEX_25E,entry,x,0,0,1,1,4.48584367935295e-30
SEX_25E,entry,x,0,1,0,1,9.202641849116704e-20
SEX_25E,entry,x,1,0,0,1,0.0010000000000001345
SEX_25E,entry,x,0,0,2,2,1.2596510012674419e-45
SEX_25E,entry,x,0,1,1,2,1.0733070821920201e-32
SEX_25E,entry,x,0,2,0,2,7.739496146285441e-8
SEX_25E,entry,x,1,0,1,2,2.602344605979311e-19
SEX_25E,entry,x,1,1,0,2,-7.17830831735545e-21
SEX_25E,entry,x,2,0,0,2,-1.134570697043576e-5
SEX_25E,entry,x,0,0,3,3,4.056964042289982e-61
SEX_25E,entry,x,0,1,2,3,-8.974981390823791e-47
SEX_25E,entry,x,0,2,1,3,-3.938778429232455e-9
SEX_25E,entry,x,0,3,0,3,6.721325637919655e-23
SEX_25E,entry,x,1,0,2,3,1.0959415393800435e-34
SEX_25E,entry,x,1,1,1,3,1.7276856833806786e-22
SEX_25E,entry,x,1,2,0,3,3.395639734467528e-8
SEX_25E,entry,x,2,0,1,3,3.7742152644646265e-9
SEX_25E,entry,x,2,1,0,3,9.894201339325023e-22
SEX_25E,entry,x,3,0,0,3,3.287679854661118e-7
SEX_25E,entry,x,0,0,4,4,1.3743582047085199e-76
SEX_25E,entry,x,0,1,3,4,8.049504666164031e-61
SEX_25E,entry,x,0,2,2,4,6.191434326182086e-23
SEX_25E,entry,x,0,3,1,4,1.734087049145685e-24
SEX_25E,entry,x,0,4,0,4,-4.114241192724091e-11
SEX_25E,entry,x,1,0,3,4,4.706175206253901e-50
SEX_25E,entry,x,1,1,2,4,-4.0867650029605804e-36
SEX_25E,entry,x,1,2,1,4,6.085492483415196e-10
SEX_25E,entry,x,1,3,0,4,-9.08961605983095e-25
SEX_25E,entry,x,2,0,2,4,3.1783638287403405e-24
SEX_25E,entry,x,2,1,1,4,-1.5332817303532108e-23
SEX_25E,entry,x,2,2,0,4,-4.624210925125382e-11
SEX_25E,entry,x,3,0,1,4,-1.0264858188038045e-10
SEX_25E,entry,x,3,1,0,4,-5.2018447470611307e-23
SEX_25E,entry,x,4,0,0,4,-5.545059033130006e-9
SEX_25E,entry,px,0,0,0,0,-2.643038719342261e-15
SEX_25E,entry,px,0,0,1,1,7.44979101012076e-30
SEX_25E,entry,px,0,1,0,1,-2.5884173821152524e-19
SEX_25E,entry,px,1,0,0,1,-9.764438368314632e-5
SEX_25E,entry,px,0,0,2,2,2.092053637053032e-45
SEX_25E,entry,px,0,1,1,2,6.735104135742154e-33
SEX_25E,entry,px,0,2,0,2,3.7583996160666165e-7
SEX_25E,entry,px,1,0,1,2,4.3207048740436193e-19
SEX_25E,entry,px,1,1,0,2,-8.230575659440584e-21
SEX_25E,entry,px,2,0,0,2,-2.51987749680644e-6
SEX_25E,entry,px,0,0,3,3,6.736983464010556e-61
SEX_25E,entry,px,0,1,2,3,-7.099021745400899e-47
SEX_25E,entry,px,0,2,1,3,-6.564825031513335e-9
SEX_25E,entry,px,0,3,0,3,-1.528945887621737e-23
SEX_25E,entry,px,1,0,2,3,1.8200379404213548e-34
SEX_25E,entry,px,1,1,1,3,9.944936996146011e-23
SEX_25E,entry,px,1,2,0,3,-1.1475238052671963e-8
SEX_25E,entry,px,2,0,1,3,6.2647873997970325e-9
SEX_25E,entry,px,2,1,0,3,5.55824971019255e-23
SEX_25E,entry,px,3,0,0,3,-1.0080719943102201e-7
SEX_25E,entry,px,0,0,4,4,2.2819428305708023e-76
SEX_25E,entry,px,0,1,3,4,7.166125500716798e-61
SEX_25E,entry,px,0,2,2,4,1.0322363348393713e-22
SEX_25E,entry,px,0,3,1,4,6.155706135617811e-25
SEX_25E,entry,px,0,4,0,4,1.4202938565509504e-11
SEX_25E,entry,px,1,0,3,4,7.81471728378594e-50
SEX_25E,entry,px,1,1,2,4,-2.3276802836146186e-36
SEX_25E,entry,px,1,2,1,4,-1.7322399827943533e-10
SEX_25E,entry,px,1,3,0,4,-9.430804766164069e-25
SEX_25E,entry,px,2,0,2,4,5.2779726797032724e-24
SEX_25E,entry,px,2,1,1,4,2.489524043697657e-24
SEX_25E,entry,px,2,2,0,4,-1.6541791673823812e-10
SEX_25E,entry,px,3,0,1,4,-1.3670720176382912e-10
SEX_25E,entry,px,3,1,0,4,1.0818675730540668e-23
SEX_25E,entry,px,4,0,0,4,3.2835971355332183e-9
SEX_25E,entry,y,0,0,0,0,-2.000214976652104e-28
SEX_25E,entry,y,0,0,1,1,1.5302327472871526e-42
SEX_25E,entry,y,0,1,0,1,0.0010000000000000724
SEX_25E,entry,y,1,0,0,1,3.0541844926914866e-18
SEX_25E,entry,y,0,0,2,2,-1.203090871123783e-56
SEX_25E,entry,y,0,1,1,2,-7.96233727255461e-18
SEX_25E,entry,y,0,2,0,2,-2.705019122246711e-20
SEX_25E,entry,y,1,0,1,2,1.878441468142567e-32
SEX_25E,entry,y,1,1,0,2,9.810757835632145e-6
SEX_25E,entry,y,2,0,0,2,9.71454672067182e-20
SEX_25E,entry,y,0,0,3,3,9.46086476212605e-71
SEX_25E,entry,y,0,1,2,3,6.259725093794219e-32
SEX_25E,entry,y,0,2,1,3,6.055222235225941e-23
SEX_25E,entry,y,0,3,0,3,4.630802413202589e-8
SEX_25E,entry,y,1,0,2,3,-4.966809436186812e-46
SEX_25E,entry,y,1,1,1,3,-2.3089505760634613e-7
SEX_25E,entry,y,1,2,0,3,3.9780982212834056e-22
SEX_25E,entry,y,2,0,1,3,-7.598618472359569e-22
SEX_25E,entry,y,2,1,0,3,-5.255931139538018e-7
SEX_25E,entry,y,3,0,0,3,-4.6343997834348945e-21
SEX_25E,entry,y,0,0,4,4,-7.43978273229282e-85
SEX_25E,entry,y,0,1,3,4,-4.9225267490469834e-46
SEX_25E,entry,y,0,2,2,4,-4.034263332004242e-36
SEX_25E,entry,y,0,3,1,4,3.097066801070053e-10
SEX_25E,entry,y,0,4,0,4,-1.9442172838545122e-24
SEX_25E,entry,y,1,0,3,4,6.649287302032172e-60
SEX_25E,entry,y,1,1,2,4,3.630419267362143e-21
SEX_25E,entry,y,1,2,1,4,8.928219090063092e-24
SEX_25E,entry,y,1,3,0,4,-1.8958261582906945e-9
SEX_25E,entry,y,2,0,2,4,1.685256088390273e-36
SEX_25E,entry,y,2,1,1,4,7.80106739756109e-9
SEX_25E,entry,y,2,2,0,4,3.7501504541116956e-23
SEX_25E,entry,y,3,0,1,4,1.4053838267887604e-23
SEX_25E,entry,y,3,1,0,4,5.303289875294992e-9
SEX_25E,entry,y,4,0,0,4,6.72759088441332e-23
SEX_25E,entry,py,0,0,0,0,-8.469255017531112e-30
SEX_25E,entry,py,0,0,1,1,2.2511158923129425e-43
SEX_25E,entry,py,0,1,0,1,7.362402106821527e-5
SEX_25E,entry,py,1,0,0,1,2.547650342555581e-19
SEX_25E,entry,py,0,0,2,2,-1.8042219501931917e-57
SEX_25E,entry,py,0,1,1,2,-1.1933805250383797e-18
SEX_25E,entry,py,0,2,0,2,-2.389858082599782e-21
SEX_25E,entry,py,1,0,1,2,2.485576239456945e-33
SEX_25E,entry,py,1,1,0,2,1.7781753488904833e-6
SEX_25E,entry,py,2,0,0,2,1.7843704481594053e-20
SEX_25E,entry,py,0,0,3,3,1.4179462582006236e-71
SEX_25E,entry,py,0,1,2,3,9.3819869864954e-33
SEX_25E,entry,py,0,2,1,3,1.1109142448458359e-23
SEX_25E,entry,py,0,3,0,3,4.338557831332177e-9
SEX_25E,entry,py,1,0,2,3,-7.453367002007046e-47
SEX_25E,entry,py,1,1,1,3,-3.460600186516312e-8
SEX_25E,entry,py,1,2,0,3,9.211679239759415e-23
SEX_25E,entry,py,2,0,1,3,-1.1696849116314072e-22
SEX_25E,entry,py,2,1,0,3,-4.6084002808071025e-8
SEX_25E,entry,py,3,0,0,3,-3.5736002203193945e-22
SEX_25E,entry,py,0,0,4,4,-1.1150650701608917e-85
SEX_25E,entry,py,0,1,3,4,-7.377812502602759e-47
SEX_25E,entry,py,0,2,2,4,-6.689881194744159e-37
SEX_25E,entry,py,0,3,1,4,2.6700660618353463e-11
SEX_25E,entry,py,0,4,0,4,-3.187623954254566e-26
SEX_25E,entry,py,1,0,3,4,9.965402591986063e-61
SEX_25E,entry,py,1,1,2,4,5.441210593617432e-22
SEX_25E,entry,py,1,2,1,4,5.136437849613468e-25
SEX_25E,entry,py,1,3,0,4,-1.1832513399341098e-10
SEX_25E,entry,py,2,0,2,4,2.4970183526838215e-37
SEX_25E,entry,py,2,1,1,4,6.607903376127917e-10
SEX_25E,entry,py,2,2,0,4,4.5064955234025804e-24
SEX_25E,entry,py,3,0,1,4,6.055223695766244e-25
SEX_25E,entry,py,3,1,0,4,1.0403315523961689e-9
SEX_25E,entry,py,4,0,0,4,6.921761786649072e-24
SEX_25E,entry,z,0,0,0,0,-3.073097330120087e-13
SEX_25E,entry,z,0,0,1,1,-2.8805607525569778e-30
SEX_25E,entry,z,0,1,0,1,-2.1353851796912874e-20
SEX_25E,entry,z,1,0,0,1,-0.00032047730328385495
SEX_25E,entry,z,0,0,2,2,-8.089143898562223e-46
SEX_25E,entry,z,0,1,1,2,3.3468730535544025e-33
SEX_25E,entry,z,0,2,0,2,1.7461656642249786e-8
SEX_25E,entry,z,1,0,1,2,-1.6707179985479241e-19
SEX_25E,entry,z,1,1,0,2,-3.9026298970345757e-20
SEX_25E,entry,z,2,0,0,2,-6.497399210625126e-6
SEX_25E,entry,z,0,0,3,3,-2.6049744987119322e-61
SEX_25E,entry,z,0,1,2,3,-2.2170417020257856e-47
SEX_25E,entry,z,0,2,1,3,2.537086834499352e-9
SEX_25E,entry,z,0,3,0,3,-1.9367988448254455e-24
SEX_25E,entry,z,1,0,2,3,-7.037434537451911e-35
SEX_25E,entry,z,1,1,1,3,1.4969382463547671e-22
SEX_25E,entry,z,1,2,0,3,-2.074060493103698e-8
SEX_25E,entry,z,2,0,1,3,-2.422537362282296e-9
SEX_25E,entry,z,2,1,0,3,6.30578393445211e-23
SEX_25E,entry,z,3,0,0,3,1.5125482762796605e-8
SEX_25E,entry,z,0,0,4,4,-8.82370907641768e-77
SEX_25E,entry,z,0,1,3,4,1.1222409546643608e-61
SEX_25E,entry,z,0,2,2,4,-3.9890869020301494e-23
SEX_25E,entry,z,0,3,1,4,2.792957399302565e-25
SEX_25E,entry,z,0,4,0,4,7.67460905742963e-12
SEX_25E,entry,z,1,0,3,4,-3.021718312404603e-50
SEX_25E,entry,z,1,1,2,4,-1.976970524651255e-36
SEX_25E,entry,z,1,2,1,4,1.6722778635038906e-10
SEX_25E,entry,z,1,3,0,4,-1.7109334210571232e-24
SEX_25E,entry,z,2,0,2,4,-2.0408225537696406e-24
SEX_25E,entry,z,2,1,1,4,2.0462023977516966e-24
SEX_25E,entry,z,2,2,0,4,-1.18600585021105e-10
SEX_25E,entry,z,3,0,1,4,9.016466209913535e-11
SEX_25E,entry,z,3,1,0,4,-2.158908035233382e-24
SEX_25E,entry,z,4,0,0,4,2.5469541291591864e-9
SEX_25E,entry,pz,0,0,0,0,5.244648461889997e-14
SEX_25E,entry,pz,0,0,1,1,2.247067761868797e-30
SEX_25E,entry,pz,0,1,0,1,-1.2014585249401688e-19
SEX_25E,entry,pz,1,0,0,1,9.153590542480797e-5
SEX_25E,entry,pz,0,0,2,2,6.310196751725372e-46
SEX_25E,entry,pz,0,1,1,2,1.2785101335412682e-33
SEX_25E,entry,pz,0,2,0,2,1.851446565101877e-7
SEX_25E,entry,pz,1,0,1,2,1.3032759791766218e-19
SEX_25E,entry,pz,1,1,0,2,-2.905280057095888e-20
SEX_25E,entry,pz,2,0,0,2,1.0220953735056187e-6
SEX_25E,entry,pz,0,0,3,3,2.032079529330027e-61
SEX_25E,entry,pz,0,1,2,3,-1.4580310125180162e-47
SEX_25E,entry,pz,0,2,1,3,-1.979510651292541e-9
SEX_25E,entry,pz,0,3,0,3,-2.855861307609634e-23
SEX_25E,entry,pz,1,0,2,3,5.489757098817125e-35
SEX_25E,entry,pz,1,1,1,3,2.233552725241299e-24
SEX_25E,entry,pz,1,2,0,3,1.5319252531913495e-9
SEX_25E,entry,pz,2,0,1,3,1.8897216273955515e-9
SEX_25E,entry,pz,2,1,0,3,-2.5684862831253912e-23
SEX_25E,entry,pz,3,0,0,3,-1.9031392609520527e-8
