target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_43W,entry,x,0,0,0,0,2.8164697915277257e-14
SEX_43W,entry,x,0,0,1,1,6.592672282684266e-30
SEX_43W,entry,x,0,1,0,1,-9.734708884388969e-19
SEX_43W,entry,x,1,0,0,1,0.0010000000000002895
SEX_43W,entry,x,0,0,2,2,3.221334140790203e-45
SEX_43W,entry,x,0,1,1,2,-1.5012509984153035e-32
SEX_43W,entry,x,0,2,0,2,-5.419382575645272e-10
SEX_43W,entry,x,1,0,1,2,4.653554159748918e-19
SEX_43W,entry,x,1,1,0,2,6.685499515353775e-20
SEX_43W,entry,x,2,0,0,2,-3.6569405062917756e-6
SEX_43W,entry,x,0,0,3,3,1.9291341928115092e-60
SEX_43W,entry,x,0,1,2,3,7.754950976630315e-47
SEX_43W,entry,x,0,2,1,3,-7.702617593028758e-9
SEX_43W,entry,x,0,3,0,3,9.337653715343626e-24
SEX_43W,entry,x,1,0,2,3,3.410208893416118e-34
SEX_43W,entry,x,1,1,1,3,-5.5321282135143215e-22
SEX_43W,entry,x,1,2,0,3,-7.020866917453189e-9
SEX_43W,entry,x,2,0,1,3,8.212082467813712e-9
SEX_43W,entry,x,2,1,0,3,8.646803680094465e-22
SEX_43W,entry,x,3,0,0,3,-1.1057346079119938e-7
SEX_43W,entry,x,0,0,4,4,1.2846324451737603e-75
SEX_43W,entry,x,0,1,3,4,-5.8394002690275905e-61
SEX_43W,entry,x,0,2,2,4,1.5205933158227005e-22
SEX_43W,entry,x,0,3,1,4,-7.305680975896658e-25
SEX_43W,entry,x,0,4,0,4,7.315633320166313e-12
SEX_43W,entry,x,1,0,3,4,2.7229149010245894e-49
SEX_43W,entry,x,1,1,2,4,6.631958587133627e-36
SEX_43W,entry,x,1,2,1,4,7.611589627286741e-10
SEX_43W,entry,x,1,3,0,4,-6.997236582676924e-25
SEX_43W,entry,x,2,0,2,4,1.203390307826164e-23
SEX_43W,entry,x,2,1,1,4,-1.07056904599824e-23
SEX_43W,entry,x,2,2,0,4,-3.062508144048699e-11
SEX_43W,entry,x,3,0,1,4,-7.212764273121055e-10
SEX_43W,entry,x,3,1,0,4,-6.506914318815718e-23
SEX_43W,entry,x,4,0,0,4,1.7798573900543839e-9
SEX_43W,entry,px,0,0,0,0,4.55689032430494e-15
SEX_43W,entry,px,0,0,1,1,6.910156683386137e-30
SEX_43W,entry,px,0,1,0,1,-5.92105056093252e-20
SEX_43W,entry,px,1,0,0,1,0.000115872721696063
SEX_43W,entry,px,0,0,2,2,3.376582195637653e-45
SEX_43W,entry,px,0,1,1,2,-2.213991037438859e-33
SEX_43W,entry,px,0,2,0,2,2.6886264237162585e-7
SEX_43W,entry,px,1,0,1,2,4.876695830199962e-19
SEX_43W,entry,px,1,1,0,2,1.4682318459745103e-20
SEX_43W,entry,px,2,0,0,2,-3.1838826507124306e-6
SEX_43W,entry,px,0,0,3,3,2.0221689806470723e-60
SEX_43W,entry,px,0,1,2,3,-1.6946016900890997e-47
SEX_43W,entry,px,0,2,1,3,-8.052941034712441e-9
SEX_43W,entry,px,0,3,0,3,4.493526845335269e-24
SEX_43W,entry,px,1,0,2,3,3.574347324744365e-34
SEX_43W,entry,px,1,1,1,3,-7.120563591434577e-23
SEX_43W,entry,px,1,2,0,3,4.32889118742918e-9
SEX_43W,entry,px,2,0,1,3,8.604164169934481e-9
SEX_43W,entry,px,2,1,0,3,-3.4904513192314456e-22
SEX_43W,entry,px,3,0,0,3,-2.0354797274437885e-9
SEX_43W,entry,px,0,0,4,4,1.3466099875364976e-75
SEX_43W,entry,px,0,1,3,4,3.2714821819846264e-61
SEX_43W,entry,px,0,2,2,4,1.5896616311345204e-22
SEX_43W,entry,px,0,3,1,4,4.8796744784781883e-26
SEX_43W,entry,px,0,4,0,4,1.7683482042571177e-12
SEX_43W,entry,px,1,0,3,4,2.8541272002251975e-49
SEX_43W,entry,px,1,1,2,4,-1.277866307429513e-36
SEX_43W,entry,px,1,2,1,4,-2.2933338047758613e-10
SEX_43W,entry,px,1,3,0,4,2.2836660671061385e-25
SEX_43W,entry,px,2,0,2,4,1.261236409440233e-23
SEX_43W,entry,px,2,1,1,4,2.615048444638738e-24
SEX_43W,entry,px,2,2,0,4,5.789243779638712e-11
SEX_43W,entry,px,3,0,1,4,-1.4336446194159558e-10
SEX_43W,entry,px,3,1,0,4,-1.775482723324911e-23
SEX_43W,entry,px,4,0,0,4,7.948687973665822e-10
SEX_43W,entry,y,0,0,0,0,-9.812822094484909e-29
SEX_43W,entry,y,0,0,1,1,1.2808879590706116e-42
SEX_43W,entry,y,0,1,0,1,0.0009999999999998697
SEX_43W,entry,y,1,0,0,1,-4.3731213636156606e-18
SEX_43W,entry,y,0,0,2,2,-1.2573792525042086e-56
SEX_43W,entry,y,0,1,1,2,-1.0091527499293035e-17
SEX_43W,entry,y,0,2,0,2,1.3099352305850608e-21
SEX_43W,entry,y,1,0,1,2,9.402072356516005e-32
SEX_43W,entry,y,1,1,0,2,3.320223405927164e-6
SEX_43W,entry,y,2,0,0,2,3.207020589400206e-20
SEX_43W,entry,y,0,0,3,3,1.2419758699308711e-70
SEX_43W,entry,y,0,1,2,3,9.96031362867983e-32
SEX_43W,entry,y,0,2,1,3,1.5097962275813371e-22
SEX_43W,entry,y,0,3,0,3,5.9733758854560736e-9
SEX_43W,entry,y,1,0,2,3,-1.3652126429975036e-45
SEX_43W,entry,y,1,1,1,3,-3.56142992505207e-7
SEX_43W,entry,y,1,2,0,3,3.5659403855329776e-22
SEX_43W,entry,y,2,0,1,3,1.839242277031972e-21
SEX_43W,entry,y,2,1,0,3,-1.771512734180049e-7
SEX_43W,entry,y,3,0,0,3,4.1740357014097744e-21
SEX_43W,entry,y,0,0,4,4,-1.2265028302417925e-84
SEX_43W,entry,y,0,1,3,4,-9.836607582930846e-46
SEX_43W,entry,y,0,2,2,4,5.367970654415846e-36
