label,family,base_qx,base_qy,base_qk,qx,qy,qk
x_m,x_axis,0.0,0.0,0.0,-1.0,0.0,0.0
y_m,y_axis,0.0,0.0,0.0,0.0,-1.0,0.0
k_m,k_axis,0.0,0.0,0.0,0.0,0.0,-1.0
x_p,x_axis,0.0,0.0,0.0,1.0,0.0,0.0
y_p,y_axis,0.0,0.0,0.0,0.0,1.0,0.0
k_p,k_axis,0.0,0.0,0.0,0.0,0.0,1.0
xy_mm,xy_diagonal,0.0,0.0,0.0,-1.0,-1.0,0.0
xy_mp,xy_diagonal,0.0,0.0,0.0,-1.0,1.0,0.0
xy_pm,xy_diagonal,0.0,0.0,0.0,1.0,-1.0,0.0
xy_pp,xy_diagonal,0.0,0.0,0.0,1.0,1.0,0.0
xk_mm,xk_protocol,0.0,0.0,0.0,-1.5,0.0,-1.0
yk_mm,yk_protocol,0.0,0.0,0.0,0.0,-1.5,-1.0
xk_mp,xk_protocol,0.0,0.0,0.0,-1.5,0.0,1.0
yk_mp,yk_protocol,0.0,0.0,0.0,0.0,-1.5,1.0
xk_pm,xk_protocol,0.0,0.0,0.0,1.5,0.0,-1.0
yk_pm,yk_protocol,0.0,0.0,0.0,0.0,1.5,-1.0
xk_pp,xk_protocol,0.0,0.0,0.0,1.5,0.0,1.0
yk_pp,yk_protocol,0.0,0.0,0.0,0.0,1.5,1.0
x_at_k_mm,x_bump_fixed_k,0.0,0.0,-1.0,-1.0,0.0,0.0
y_at_k_mm,y_bump_fixed_k,0.0,0.0,-1.0,0.0,-1.0,0.0
k_at_x_mm,k_fixed_x_bump,-1.5,0.0,0.0,0.0,0.0,-1.0
k_at_y_mm,k_fixed_y_bump,0.0,-1.5,0.0,0.0,0.0,-1.0
x_at_k_mp,x_bump_fixed_k,0.0,0.0,1.0,-1.0,0.0,0.0
y_at_k_mp,y_bump_fixed_k,0.0,0.0,1.0,0.0,-1.0,0.0
k_at_x_mp,k_fixed_x_bump,-1.5,0.0,0.0,0.0,0.0,1.0
k_at_y_mp,k_fixed_y_bump,0.0,-1.5,0.0,0.0,0.0,1.0
x_at_k_pm,x_bump_fixed_k,0.0,0.0,-1.0,1.0,0.0,0.0
y_at_k_pm,y_bump_fixed_k,0.0,0.0,-1.0,0.0,1.0,0.0
k_at_x_pm,k_fixed_x_bump,1.5,0.0,0.0,0.0,0.0,-1.0
k_at_y_pm,k_fixed_y_bump,0.0,1.5,0.0,0.0,0.0,-1.0
x_at_k_pp,x_bump_fixed_k,0.0,0.0,1.0,1.0,0.0,0.0
y_at_k_pp,y_bump_fixed_k,0.0,0.0,1.0,0.0,1.0,0.0
k_at_x_pp,k_fixed_x_bump,1.5,0.0,0.0,0.0,0.0,1.0
k_at_y_pp,k_fixed_y_bump,0.0,1.5,0.0,0.0,0.0,1.0
