target,target_s_m,target_length_m,target_nominal_kn2_m3,state_index,direction,direction_family,radius_scale,qx,qy,qk,bump_x_command_m,bump_y_command_m,delta_k2_m3,converged,failure,closed_orbit_seconds,maximum_abs_corrector_delta,maximum_abs_corrector_total,maximum_ring_abs_x_m,maximum_ring_abs_y_m,maximum_bpm_abs_x_m,maximum_bpm_abs_y_m,entry_x,entry_px,entry_y,entry_py,entry_z,entry_pz,exit_x,exit_px,exit_y,exit_py,exit_z,exit_pz
SEX_09AW,50.513,0.272,2.2518524157,1,origin,origin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,0.0340477,0.0,0.0,0.00011399957600995216,4.100985420015017e-28,1.0259044620047638e-13,3.966983685484475e-28,-9.439896909465483e-16,1.7571810928566897e-16,1.3822255884975366e-28,2.9252751303380226e-29,-1.2691232314205747e-14,5.243738078800974e-14,-8.961943652208488e-16,1.7571810928566872e-16,1.4617930720427266e-28,2.925275130338015e-29,-1.269123221075172e-14,5.243738078800974e-14
SEX_09AW,50.513,0.272,2.2518524157,2,x_m,x_axis,0.5,-0.5,0.0,0.0,-0.0005,0.0,0.0,true,,0.0435992,0.0019364720002804352,0.0019364720002804352,0.0005017937987978293,1.3787918683975203e-18,0.0004888272453164007,1.1493145092639622e-18,-0.0004998860678058978,3.179549749987427e-5,1.717682192168507e-20,-1.9771222595482225e-21,-1.351958767181253e-6,-5.980794497707064e-7,-0.0004912479756855093,3.172028472082278e-5,1.6638340615919587e-20,-1.9822545862525258e-21,-1.3520959313581525e-6,-5.980794497707064e-7
SEX_09AW,50.513,0.272,2.2518524157,3,x_m,x_axis,1.0,-1.0,0.0,0.0,-0.001,0.0,0.0,true,,0.1019969,0.0038729440005608705,0.0038729440005608705,0.0010033622781387536,2.531381707927e-18,0.0009774707577540728,2.001788635007768e-18,-0.0009995445244816881,6.362915018070156e-5,-1.0251837582480525e-19,-4.5315216044692293e-20,-2.7265787798733444e-6,-1.2149801755894068e-6,-0.000982278509257785,6.332843621592254e-5,-1.1483530381279556e-19,-4.524926643777813e-20,-2.727126789327438e-6,-1.2149801755894068e-6
SEX_09AW,50.513,0.272,2.2518524157,4,y_m,y_axis,0.5,0.0,-0.5,0.0,0.0,-0.0005,0.0,true,,0.0599899,0.004161899944703404,0.004161899944703404,0.00011397714262762813,0.0008189464847490803,8.550828922526015e-7,0.0007884307625986529,-3.808034940193862e-8,-8.548551632966526e-9,-0.000499999204460803,-4.174875035141137e-5,-1.0980229614762444e-7,-4.298420326897258e-8,-2.9834472421861887e-8,6.976619381062259e-8,-0.0005113548634963382,-4.1748739288887765e-5,-1.1003933869174462e-7,-4.298420326897258e-8
SEX_09AW,50.513,0.272,2.2518524157,5,y_m,y_axis,1.0,0.0,-1.0,0.0,0.0,-0.001,0.0,true,,0.0450673,0.008323799889406808,0.008323799889406808,0.00011390981974140819,0.0016378936137443772,3.4202994547319966e-6,0.0015768601685707772,-1.5229510677501237e-7,-3.4197054358251244e-8,-0.0009999936355376791,-8.349629903375402e-5,-4.392107036837565e-7,-1.7193683430231452e-7,-1.1931277977740122e-7,2.790588626248734e-7,-0.00102270462039665,-8.349621054995859e-5,-4.4015884837033053e-7,-1.7193683430231452e-7
SEX_09AW,50.513,0.272,2.2518524157,6,k_m,k_axis,0.5,0.0,0.0,-0.5,0.0,0.0,-0.05,true,,0.0150876,0.0,0.0,0.00011399957600995216,4.100985420015017e-28,1.0259044620047638e-13,3.966983685484475e-28,-9.439896909465483e-16,1.7571810928566897e-16,1.3822255884975366e-28,2.9252751303380226e-29,-1.2691232314205747e-14,5.243738078800974e-14,-8.961943652208488e-16,1.7571810928566872e-16,1.4617930720427266e-28,2.925275130338015e-29,-1.269123221075172e-14,5.243738078800974e-14
SEX_09AW,50.513,0.272,2.2518524157,7,k_m,k_axis,1.0,0.0,0.0,-1.0,0.0,0.0,-0.1,true,,0.0144923,0.0,0.0,0.00011399957600995216,4.100985420015017e-28,1.0259044620047638e-13,3.966983685484475e-28,-9.439896909465483e-16,1.7571810928566897e-16,1.3822255884975366e-28,2.9252751303380226e-29,-1.2691232314205747e-14,5.243738078800974e-14,-8.961943652208488e-16,1.7571810928566872e-16,1.4617930720427266e-28,2.9252751303380153e-29,-1.269123221075172e-14,5.243738078800974e-14
SEX_09AW,50.513,0.272,2.2518524157,8,x_p,x_axis,0.5,0.5,0.0,0.0,0.0005,0.0,0.0,true,,0.0445806,0.0019364720002804352,0.0019364720002804352,0.0005020195051233532,1.2251478932129982e-18,0.000489011299841703,9.55567482220046e-19,0.0005001140690044464,-3.17572870257904e-5,1.0994654973854583e-20,1.1015996776134485e-20,1.329181850989068e-6,5.79185782456514e-7,0.0004914657941270343,-3.183256852140195e-5,1.399150101077345e-20,1.1019789253772678e-20,1.3290443655632502e-6,5.79185782456514e-7
SEX_09AW,50.513,0.272,2.2518524157,9,x_p,x_axis,1.0,1.0,0.0,0.0,0.001,0.0,0.0,true,,0.0447428,0.0038729440005608705,0.0038729440005608705,0.0010042651446174153,2.6582657094239576e-18,0.0009782070183117094,2.1858698981292052e-18,0.0010004565700887475,-6.347631434180348e-5,1.8649434533870072e-20,1.9060079455790768e-20,2.6354638861495175e-6,1.1394061265039262e-6,0.0009831498221046123,-6.37775780635521e-5,2.3835458303321517e-20,1.9072979217120172e-20,2.6349132926535455e-6,1.1394061265039262e-6
SEX_09AW,50.513,0.272,2.2518524157,10,y_p,y_axis,0.5,0.0,0.5,0.0,0.0,0.0005,0.0,true,,0.1360965,0.004161899944703404,0.004161899944703404,0.00011397714263831094,0.0008189464847489754,8.550828724856374e-7,0.0007884307625986535,-3.8080347291295394e-8,-8.548551755124812e-9,0.0004999992044610092,4.174875035147024e-5,-1.0980229605393337e-7,-4.2984172938003947e-8,-2.9834470344437086e-8,6.976619368853063e-8,0.0005113548634965602,4.174873928894729e-5,-1.1003933859805413e-7,-4.2984172938003947e-8
SEX_09AW,50.513,0.272,2.2518524157,11,y_p,y_axis,1.0,0.0,1.0,0.0,0.0,0.001,0.0,true,,0.0453738,0.008323799889406808,0.008323799889406808,0.00011390981973371917,0.0016378936137443987,3.420299450609575e-6,0.0015768601685707871,-1.5229510545393084e-7,-3.419705475769414e-8,0.0009999936355376629,8.349629903374843e-5,-4.3921070966508747e-7,-1.7193683659252033e-7,-1.1931277856496946e-7,2.790588622254201e-7,0.0010227046203966324,8.349621054995379e-5,-4.401588543516614e-7,-1.7193683659252033e-7
SEX_09AW,50.513,0.272,2.2518524157,12,k_p,k_axis,0.5,0.0,0.0,0.5,0.0,0.0,0.05,true,,0.0157591,0.0,0.0,0.00011399957600995216,4.100985420015017e-28,1.0259044620047638e-13,3.966983685484475e-28,-9.439896909465483e-16,1.7571810928566897e-16,1.3822255884975366e-28,2.9252751303380226e-29,-1.2691232314205747e-14,5.243738078800974e-14,-8.961943652208488e-16,1.757181092856687e-16,1.4617930720427266e-28,2.925275130338014e-29,-1.269123221075172e-14,5.243738078800974e-14
SEX_09AW,50.513,0.272,2.2518524157,13,k_p,k_axis,1.0,0.0,0.0,1.0,0.0,0.0,0.1,true,,0.014048,0.0,0.0,0.00011399957600995216,4.100985420015017e-28,1.0259044620047638e-13,3.966983685484475e-28,-9.439896909465483e-16,1.7571810928566897e-16,1.3822255884975366e-28,2.9252751303380226e-29,-1.2691232314205747e-14,5.243738078800974e-14,-8.961943652208488e-16,1.757181092856687e-16,1.4617930720427266e-28,2.925275130338014e-29,-1.269123221075172e-14,5.243738078800974e-14
SEX_09AW,50.513,0.272,2.2518524157,14,xy_mm,xy_diagonal,0.5,-0.5,-0.5,0.0,-0.0005,-0.0005,0.0,true,,0.06137,0.004161899944703404,0.004161899944703404,0.0005018308519434817,0.0008182652369540547,0.0004888558656018912,0.0007882117457773533,-0.0004999236372103545,3.1786891801859854e-5,-0.0005007103187759888,-4.198470357554022e-5,-1.4615338376093107e-6,-6.409195177270402e-7,-0.0004912772852750935,3.179021130241662e-5,-0.0005121092771336849,-4.183098318843631e-5,-1.4619101179158926e-6,-6.409195177270402e-7
SEX_09AW,50.513,0.272,2.2518524157,15,xy_mm,xy_diagonal,1.0,-1.0,-1.0,0.0,-0.001,-0.001,0.0,true,,0.048051,0.008323799889406808,0.008323799889406808,0.0010035084231475812,0.0016351645152949278,0.0009775831543679648,0.0015759830547239315,-0.0009996927480442664,6.359449657282771e-5,-0.0010028430775407716,-8.444170255469835e-5,-3.1639839658422314e-6,-1.385764127049943e-6,-0.000982393638053912,6.360878459931137e-5,-0.0010257275915302592,-8.382602486507656e-5,-3.1654967673267813e-6,-1.385764127049943e-6
SEX_09AW,50.513,0.272,2.2518524157,16,xy_mp,xy_diagonal,0.5,-0.5,0.5,0.0,-0.0005,0.0005,0.0,true,,0.0936031,0.004161899944703404,0.004161899944703404,0.0005018308519434976,0.0008182652369540548,0.0004888558656019079,0.0007882117457773574,-0.0004999236372103703,3.178689180186251e-5,0.0005007103187760001,4.198470357554294e-5,-1.4615338376162492e-6,-6.409195177258572e-7,-0.0004912772852751086,3.179021130241927e-5,0.0005121092771336968,4.183098318843902e-5,-1.4619101179228308e-6,-6.409195177258572e-7
SEX_09AW,50.513,0.272,2.2518524157,17,xy_mp,xy_diagonal,1.0,-1.0,1.0,0.0,-0.001,0.001,0.0,true,,0.045967,0.008323799889406808,0.008323799889406808,0.0010035084231475222,0.0016351645152949282,0.0009775831543679045,0.001575983054723932,-0.000999692748044208,6.35944965728199e-5,0.001002843077540772,8.444170255469827e-5,-3.163983965869985e-6,-1.385764127052855e-6,-0.0009823936380538559,6.360878459930361e-5,0.0010257275915302596,8.382602486507652e-5,-3.1654967673545348e-6,-1.385764127052855e-6
SEX_09AW,50.513,0.272,2.2518524157,18,xy_pm,xy_diagonal,0.5,0.5,-0.5,0.0,0.0005,-0.0005,0.0,true,,0.0586818,0.004161899944703404,0.004161899944703404,0.0005019814193271951,0.0008196256895132672,0.000488981638985263,0.000788649259869405,0.0005000754736502124,-3.176577826791572e-5,-0.0004992905719840898,-4.15135889607145e-5,1.219149361668781e-6,5.360573212093173e-7,0.0004914354309476941,-3.1762961106846614e-5,-0.0005106030966431325,-4.1666911077045455e-5,1.2187768926954292e-6,5.360573212093173e-7
SEX_09AW,50.513,0.272,2.2518524157,19,xy_pm,xy_diagonal,1.0,1.0,-1.0,0.0,0.001,-0.001,0.0,true,,0.0588473,0.008323799889406808,0.008323799889406808,0.0010041107378854918,0.0016406063678698804,0.00097808629659567,0.0015777331254957342,0.0010003001384134096,-6.351005222750533e-5,-0.0009971640470511208,-8.255722990204391e-5,2.194399550075071e-6,9.66314916488884e-7,0.0009830262640910575,-6.349978298051705e-5,-0.001019702822266102,-8.316972143582539e-5,2.1929172258179767e-6,9.66314916488884e-7
SEX_09AW,50.513,0.272,2.2518524157,20,xy_pp,xy_diagonal,0.5,0.5,0.5,0.0,0.0005,0.0005,0.0,true,,0.0604201,0.004161899944703404,0.004161899944703404,0.0005019814193271503,0.0008196256895132687,0.0004889816389852173,0.0007886492598694056,0.0005000754736501679,-3.176577826790985e-5,0.0004992905719840891,4.151358896071412e-5,1.219149361620209e-6,5.360573212205851e-7,0.0004914354309476513,-3.176296110684074e-5,0.0005106030966431314,4.1666911077045076e-5,1.2187768926468576e-6,5.360573212205851e-7
SEX_09AW,50.513,0.272,2.2518524157,21,xy_pp,xy_diagonal,1.0,1.0,1.0,0.0,0.001,0.001,0.0,true,,0.0447126,0.008323799889406808,0.008323799889406808,0.0010041107378820332,0.0016406063678701636,0.0009780862965922204,0.0015777331254957663,0.001000300138409971,-6.35100522271702e-5,0.0009971640470506523,8.255722990190668e-5,2.1943995476778888e-6,9.66314874440997e-7,0.0009830262640877093,-6.349978298018016e-5,0.0010197028222655967,8.316972143568577e-5,2.192917223420803e-6,9.66314874440997e-7
SEX_09AW,50.513,0.272,2.2518524157,22,xk_mm,xk_protocol,0.5,-0.75,0.0,-0.5,-0.00075,0.0,-0.05,true,,0.0882566,0.002904708000420653,0.002904708000420653,0.0007526120508353162,2.0890994617379005e-18,0.0007331766179632084,1.7969668375488828e-18,-0.0007497496647638299,4.770639133516079e-5,-7.836450831663249e-20,-3.504130030491385e-20,-2.036444735288548e-6,-9.041825009120113e-7,-0.0007367961446094602,4.754095521870821e-5,-8.789080036261315e-20,-3.500430208424994e-20,-2.0367531816552215e-6,-9.041825009120113e-7
SEX_09AW,50.513,0.272,2.2518524157,23,xk_mm,xk_protocol,1.0,-1.5,0.0,-1.0,-0.0015,0.0,-0.1,true,,0.0418569,0.005809416000841306,0.005809416000841306,0.0015047526874887986,3.844840444912155e-18,0.0014659681193696867,3.1067265655301307e-18,-0.001499023182316488,9.549157571526432e-5,-1.4853467033033797e-19,-6.678367724445725e-20,-4.123776960572481e-6,-1.8506435972559725e-6,-0.0014731378337408763,9.484526927708725e-5,-1.6668152665624273e-19,-6.664660991936905e-20,-4.125008680851588e-6,-1.8506435972559725e-6
SEX_09AW,50.513,0.272,2.2518524157,24,yk_mm,yk_protocol,0.5,0.0,-0.75,-0.5,0.0,-0.00075,-0.05,true,,0.0442835,0.006242849917055107,0.006242849917055107,0.0001139510883367827,0.0012284199217748105,1.8755108735823951e-6,0.001182645724634342,-7.948934154595551e-8,-1.801864128663761e-8,-0.0007499973395977296,-6.262275654928177e-5,-2.4705544101997703e-7,-9.671466275842697e-8,-6.113368602073474e-8,1.5427632943298633e-7,-0.0007670307263008022,-6.262272285021809e-5,-2.4758878088389633e-7,-9.671466275842697e-8
SEX_09AW,50.513,0.272,2.2518524157,25,yk_mm,yk_protocol,1.0,0.0,-1.5,-1.0,0.0,-0.0015,-0.1,true,,0.073235,0.012485699834110214,0.012485699834110214,0.00011381349264622192,0.0024568419188044704,7.30822337414304e-6,0.0023652869342853525,-2.930964262236317e-7,-6.72226626853273e-8,-0.0014999789188404498,-0.00012524155095331124,-9.882284957046707e-7,-3.868597023633574e-7,-2.2046847640991264e-7,6.062927237523785e-7,-0.0015340445999399857,-0.0001252413095210061,-9.90361729362562e-7,-3.868597023633574e-7
SEX_09AW,50.513,0.272,2.2518524157,26,xk_mp,xk_protocol,0.5,-0.75,0.0,0.5,-0.00075,0.0,0.05,true,,0.0437979,0.002904708000420653,0.002904708000420653,0.0007526003109850931,1.893648586095962e-18,0.0007331672815611156,1.4893425212666853e-18,-0.0007497377848998681,4.770872489543324e-5,-3.4656174535100864e-20,-2.170132496456385e-20,-2.0364413928507234e-6,-9.041808596870624e-7,-0.0007367846570327418,4.7535780798540994e-5,-4.055661605535452e-20,-2.1683828396317987e-20,-2.0367498205644884e-6,-9.041808596870624e-7
SEX_09AW,50.513,0.272,2.2518524157,27,xk_mp,xk_protocol,1.0,-1.5,0.0,1.0,-0.0015,0.0,0.1,true,,0.0459701,0.005809416000841306,0.005809416000841306,0.0015046588858463547,4.0858155669889306e-18,0.0014658935182756791,3.475364485736913e-18,-0.0014989282622304106,9.55102164105319e-5,-2.0487596883059203e-19,-8.381212105957674e-20,-4.123726562384864e-6,-1.850614318933948e-6,-0.001473046047970314,9.480393023860999e-5,-2.2764536306644276e-19,-8.36065746676112e-20,-4.124957985319522e-6,-1.850614318933948e-6
SEX_09AW,50.513,0.272,2.2518524157,28,yk_mp,yk_protocol,0.5,0.0,-0.75,0.5,0.0,-0.00075,0.05,true,,0.0641932,0.006242849917055107,0.006242849917055107,0.00011394710280713435,0.0012284199342737694,1.9723471132513048e-6,0.001182645714983567,-9.18598796495813e-8,-2.0451179064711093e-8,-0.0007499972912778806,-6.262274374939746e-5,-2.4705558881570673e-7,-9.671430493309932e-8,-7.310964318038787e-8,1.5966876794503183e-7,-0.0007670306734841305,-6.262270265480446e-5,-2.4758892845617715e-7,-9.671430493309932e-8
