target,location,coordinate,qx_power,qy_power,qk_power,total_order,coefficient
SEX_09AW,entry,x,0,0,0,0,-9.806505539338777e-16
SEX_09AW,entry,x,0,0,1,1,1.9703804077705488e-32
SEX_09AW,entry,x,0,1,0,1,3.356191271008807e-19
SEX_09AW,entry,x,1,0,0,1,0.0010000000000000013
SEX_09AW,entry,x,0,0,2,2,-8.094241040974383e-49
SEX_09AW,entry,x,0,1,1,2,-6.0823500185678476e-33
SEX_09AW,entry,x,0,2,0,2,-1.5233013771982994e-7
SEX_09AW,entry,x,1,0,1,2,-4.082559431355053e-20
SEX_09AW,entry,x,1,1,0,2,-5.104389036933802e-22
SEX_09AW,entry,x,2,0,0,2,4.559956007911299e-7
SEX_09AW,entry,x,0,0,3,3,4.144206531950806e-65
SEX_09AW,entry,x,0,1,2,3,-1.8458064048295634e-48
SEX_09AW,entry,x,0,2,1,3,-2.199407015995363e-8
SEX_09AW,entry,x,0,3,0,3,-1.1135961166297426e-22
SEX_09AW,entry,x,1,0,2,3,2.5161083331486986e-36
SEX_09AW,entry,x,1,1,1,3,-9.479082753982802e-23
SEX_09AW,entry,x,1,2,0,3,-4.103698364995663e-9
SEX_09AW,entry,x,2,0,1,3,2.1149228437714698e-8
SEX_09AW,entry,x,2,1,0,3,8.234983525573981e-23
SEX_09AW,entry,x,3,0,0,3,5.472084928319979e-10
SEX_09AW,entry,px,0,0,0,0,1.7774855849310266e-16
SEX_09AW,entry,px,0,0,1,1,3.8673068765500486e-33
SEX_09AW,entry,px,0,1,0,1,-1.4675114300831087e-19
SEX_09AW,entry,px,1,0,0,1,-6.355280194782957e-5
SEX_09AW,entry,px,0,0,2,2,-1.589048488445396e-49
SEX_09AW,entry,px,0,1,1,2,-1.2521283324928572e-33
SEX_09AW,entry,px,0,2,0,2,-3.419325856542107e-8
SEX_09AW,entry,px,1,0,1,2,-8.016076488818279e-21
SEX_09AW,entry,px,1,1,0,2,7.311251370146488e-22
SEX_09AW,entry,px,2,0,0,2,7.642195686129905e-8
SEX_09AW,entry,px,0,0,3,3,8.136176014417803e-66
SEX_09AW,entry,px,0,1,2,3,-3.830526403059731e-49
SEX_09AW,entry,px,0,2,1,3,-4.3243203096156e-9
SEX_09AW,entry,px,0,3,0,3,1.2794334896465352e-23
SEX_09AW,entry,px,1,0,2,3,4.940207035776459e-37
SEX_09AW,entry,px,1,1,1,3,4.505758890956858e-23
SEX_09AW,entry,px,1,2,0,3,4.5780912562770913e-10
SEX_09AW,entry,px,2,0,1,3,4.154270352313068e-9
SEX_09AW,entry,px,2,1,0,3,-1.0704001102828504e-23
SEX_09AW,entry,px,3,0,0,3,6.969103659017924e-11
SEX_09AW,entry,y,0,0,0,0,1.3822135669007717e-28
SEX_09AW,entry,y,0,0,1,1,2.3810522672140673e-44
SEX_09AW,entry,y,0,1,0,1,0.0010000000000003123
SEX_09AW,entry,y,1,0,0,1,1.1744874983002699e-19
SEX_09AW,entry,y,0,0,2,2,3.632906370421354e-60
SEX_09AW,entry,y,0,1,1,2,1.6882446499210042e-19
SEX_09AW,entry,y,0,2,0,2,1.846410811969489e-21
SEX_09AW,entry,y,1,0,1,2,-2.4829889811025954e-32
SEX_09AW,entry,y,1,1,0,2,-2.8394863626416545e-6
SEX_09AW,entry,y,2,0,0,2,6.013243905899256e-22
SEX_09AW,entry,y,0,0,3,3,5.657109078968788e-76
SEX_09AW,entry,y,0,1,2,3,2.579720380896254e-35
SEX_09AW,entry,y,0,2,1,3,-1.796137647581024e-22
SEX_09AW,entry,y,0,3,0,3,-6.36426345669543e-9
