method,relative_x_rmse_um,relative_y_rmse_um,relative_rmse_2d_um,relative_median_2d_um,relative_p90_2d_um,relative_p99_2d_um,relative_max_2d_um,absolute_increment_x_rmse_um,absolute_increment_y_rmse_um,absolute_increment_rmse_2d_um,absolute_increment_median_2d_um,absolute_increment_p90_2d_um,absolute_increment_p99_2d_um,absolute_increment_max_2d_um
fd_linear_source_predicted,4.846050595464902,4.172297203164153,6.394706429957294,5.0007180857213065,8.956349192297711,15.685323895172566,19.136090420644713,4.846416375010251,4.172233309554234,6.394941944171298,5.003346070152214,8.960279963060927,15.685153586090596,19.135957359841736
fd_quartic_source_predicted,4.846066080412361,4.172293555336572,6.3947157847418294,5.001335093857179,8.955497092786446,15.685048815480938,19.135804633494235,4.84643176280997,4.172229663575961,6.394951227116322,5.003962916335437,8.959427516938653,15.684878712133324,19.13567157361868
quadratic_o_derivative_predicted,3.2535830995057675,3.9638966205627226,5.128184805942365,3.738924426225423,7.549159395896142,14.948940440702811,15.696575282704476,3.25338645092678,3.962712458272688,5.127144763513463,3.747813830793418,7.549719456243019,14.944364370125383,15.69692343484196
chain_rule_o_derivative_predicted,3.559899897288785,4.147718380341077,5.465935879731478,3.981949936196112,7.771729159548768,16.13467288691321,16.586181479630685,3.5599508370970416,4.1465895695903,5.465112535088642,3.9755434529386036,7.771144588876979,16.12970523430502,16.586530422205115
o_taylor_order3_nominal_local,24.94232707124635,21.620633290320555,33.00865740383189,27.94664949315863,47.19210309155197,57.519362588810345,58.49486375882975,24.941672476284968,21.62221490445721,33.009198767749616,27.946205793156135,47.1983977232677,57.5239940284305,58.49539639176498
o_taylor_order4_nominal_local,4.459748448143351,4.538062608151426,6.362654199013109,4.65677570074252,9.719397622270002,15.465356238284441,17.027820278762103,4.4596156194785195,4.537473092955074,6.36214064154417,4.658725957296548,9.718157380158951,15.466373399836895,17.02810668594437
o_taylor_order5_nominal_local,3.980763163779641,4.113997736080429,5.724635598759086,4.490103423571176,8.57302010273827,14.65347222533928,16.95337135268696,3.9805154658336668,4.113265874814126,5.7239374149838,4.50459599982434,8.573798978338914,14.65039399100511,16.953692585240585
o_taylor_order4_all_state_local,4.459748269077266,4.53806665129153,6.362656957207578,4.656772821100902,9.719400849382328,15.465343111197415,17.02781921598241,4.459615440916623,4.5374771347247105,6.362143398966383,4.658723077471896,9.718160607287846,15.466360274168698,17.028105623168692
fd_quartic_source_oracle_local,4.845628800238167,4.1724604745821505,6.394493324857559,4.986176811563968,8.944899811518297,15.684108210777067,19.135826029101445,4.845996102016116,4.172373472440249,6.394714897028521,4.993470852694305,8.948830412452411,15.683931718099545,19.13569295884491
o_taylor_order4_oracle_all_state_local,4.460684651251538,4.535659441633687,6.361596822213103,4.659038100423087,9.71803434780939,15.464053881250674,17.028123310274797,4.460566161434036,4.535079165331926,6.36110002408059,4.660987421006615,9.716794128302984,15.465071153024901,17.02840971821948
