state_id,target_sextupole,bump_index,bump_x_command_m,bump_y_command_m,k2_level,delta_k2_m3,true_x_offset_m,true_y_offset_m,background_offset_rms_m,target_orbit_x_m,target_orbit_y_m,calculation_seconds
sex_08w_b01_k-1,SEX_08W,1,0.0,0.0,-1.0,-0.01,0.00035,-0.00025,0.0003,-0.011958068004901703,-1.6211630271333982e-5,52.093703
sex_08w_b01_k+0,SEX_08W,1,0.0,0.0,0.0,0.0,0.00035,-0.00025,0.0003,-0.01195773970880952,-1.620251801938806e-5,1.3795447
sex_08w_b01_k+1,SEX_08W,1,0.0,0.0,1.0,0.01,0.00035,-0.00025,0.0003,-0.011957411450136861,-1.6193405013753305e-5,1.3939948
sex_08w_b02_k-1,SEX_08W,2,-0.0005,0.0,-1.0,-0.01,0.00035,-0.00025,0.0003,-0.012458077429016163,-1.6421226005572825e-5,1.3977766
sex_08w_b02_k+0,SEX_08W,2,-0.0005,0.0,0.0,0.0,0.00035,-0.00025,0.0003,-0.012457697560660999,-1.641161972463985e-5,1.2770534
sex_08w_b02_k+1,SEX_08W,2,-0.0005,0.0,1.0,0.01,0.00035,-0.00025,0.0003,-0.012457317740169936,-1.6402012582401036e-5,1.1604318
sex_08w_b03_k-1,SEX_08W,3,0.0005,0.0,-1.0,-0.01,0.00035,-0.00025,0.0003,-0.011458349846492773,-1.6007252788775536e-5,1.28855
sex_08w_b03_k+0,SEX_08W,3,0.0005,0.0,0.0,0.0,0.00035,-0.00025,0.0003,-0.0114580684478533,-1.5998633389926454e-5,1.2478893
sex_08w_b03_k+1,SEX_08W,3,0.0005,0.0,1.0,0.01,0.00035,-0.00025,0.0003,-0.01145778707801682,-1.5990013332420008e-5,1.2689513
sex_08w_b04_k-1,SEX_08W,4,0.0,-0.0005,-1.0,-0.01,0.00035,-0.00025,0.0003,-0.011958051985922851,-0.0005162179978172352,0.839001
sex_08w_b04_k+0,SEX_08W,4,0.0,-0.0005,0.0,0.0,0.00035,-0.00025,0.0003,-0.011957723344513395,-0.0005162386135986721,1.4286058
sex_08w_b04_k+1,SEX_08W,4,0.0,-0.0005,1.0,0.01,0.00035,-0.00025,0.0003,-0.0119573947404297,-0.0005162592304351761,1.3496901
sex_08w_b05_k-1,SEX_08W,5,0.0,0.0005,-1.0,-0.01,0.00035,-0.00025,0.0003,-0.011958127666598503,0.00048379493486836795,1.254173
sex_08w_b05_k+0,SEX_08W,5,0.0,0.0005,0.0,0.0,0.00035,-0.00025,0.0003,-0.011957800842218104,0.000483833791349697,1.4517407
sex_08w_b05_k+1,SEX_08W,5,0.0,0.0005,1.0,0.01,0.00035,-0.00025,0.0003,-0.011957474055394872,0.0004838726504119577,1.3275103
