target_sextupole,observable_ablation,input_representation,bump_index,effective_x_offset_m,effective_y_offset_m,center_x_estimate_m,center_y_estimate_m
SEX_08W,orbit_only,full_slopes,1,0.0003524963475453452,-0.0002573450380835425,0.0003524963475453452,-0.0002573450380835425
SEX_08W,orbit_only,full_slopes,2,0.0008620955277380782,-0.00026760442687323593,0.0003619843984280232,-0.00026758777474813003
SEX_08W,orbit_only,full_slopes,3,-0.00013719953088777223,-0.0002470216489985866,0.0003626247679277984,-0.0002470381094684724
SEX_08W,orbit_only,full_slopes,4,0.0003523850113442055,0.0002640159430650944,0.0003523715041630906,-0.00023599739107903287
SEX_08W,orbit_only,full_slopes,5,0.0003311092272873906,-0.0007787213123879344,0.0003310782027119073,-0.0002787080240778595
SEX_08W,orbit_only,modes2,1,0.0003524963475453452,-0.0002573450380835425,0.0003524963475453452,-0.0002573450380835425
SEX_08W,orbit_only,modes2,2,0.0008620955277380782,-0.00026760442687323593,0.0003619843984280232,-0.00026758777474813003
SEX_08W,orbit_only,modes2,3,-0.00013719953088777223,-0.0002470216489985866,0.0003626247679277984,-0.0002470381094684724
SEX_08W,orbit_only,modes2,4,0.0003523850113442055,0.0002640159430650944,0.0003523715041630906,-0.00023599739107903287
SEX_08W,orbit_only,modes2,5,0.0003311092272873906,-0.0007787213123879344,0.0003310782027119073,-0.0002787080240778595
SEX_08W,orbit_phase_tune,full_slopes,1,0.00035177743681598833,-0.00025732390755544014,0.00035177743681598833,-0.00025732390755544014
SEX_08W,orbit_phase_tune,full_slopes,2,0.0003471721175693732,-0.0002907174995469614,-0.00015293901174068177,-0.00029070084742185547
SEX_08W,orbit_phase_tune,full_slopes,3,0.00042959701977199815,-0.00022171490869237864,0.0009294213185875688,-0.0002217313691622645
SEX_08W,orbit_phase_tune,full_slopes,4,0.0003509810895473496,0.0002638435976996833,0.0003509675823662347,-0.000236169736444444
SEX_08W,orbit_phase_tune,full_slopes,5,0.0003455612042347128,-0.0007774410537460028,0.0003455301796592295,-0.00027742776543592787
SEX_08W,orbit_phase_tune,modes2,1,0.00035177743681598833,-0.00025732390755544014,0.00035177743681598833,-0.00025732390755544014
SEX_08W,orbit_phase_tune,modes2,2,0.0003471721175693732,-0.0002907174995469614,-0.00015293901174068177,-0.00029070084742185547
SEX_08W,orbit_phase_tune,modes2,3,0.00042959701977199815,-0.00022171490869237864,0.0009294213185875688,-0.0002217313691622645
SEX_08W,orbit_phase_tune,modes2,4,0.0003509810895473496,0.0002638435976996833,0.0003509675823662347,-0.000236169736444444
SEX_08W,orbit_phase_tune,modes2,5,0.0003455612042347128,-0.0007774410537460028,0.0003455301796592295,-0.00027742776543592787
SEX_08W,orbit_phase_coupling_tune,full_slopes,1,0.0003515058853145387,-0.00025146794497757526,0.0003515058853145387,-0.00025146794497757526
SEX_08W,orbit_phase_coupling_tune,full_slopes,2,0.0003449174633884686,-0.0002419388862321336,-0.0001551936659215864,-0.00024192223410702767
SEX_08W,orbit_phase_coupling_tune,full_slopes,3,0.0004314955242157914,-0.00026282849991085896,0.000931319823031362,-0.0002628449603807448
SEX_08W,orbit_phase_coupling_tune,full_slopes,4,0.00035170705095955064,0.0002480965314879876,0.00035169354377843573,-0.0002519168026561397
SEX_08W,orbit_phase_coupling_tune,full_slopes,5,0.00034425662850769015,-0.0007492050882056238,0.00034422560393220685,-0.00024919179989554884
SEX_08W,orbit_phase_coupling_tune,modes2,1,0.0003515058853145387,-0.00025146794497757526,0.0003515058853145387,-0.00025146794497757526
SEX_08W,orbit_phase_coupling_tune,modes2,2,0.0003449174633884686,-0.0002419388862321336,-0.0001551936659215864,-0.00024192223410702767
SEX_08W,orbit_phase_coupling_tune,modes2,3,0.0004314955242157914,-0.00026282849991085896,0.000931319823031362,-0.0002628449603807448
SEX_08W,orbit_phase_coupling_tune,modes2,4,0.00035170705095955064,0.0002480965314879876,0.00035169354377843573,-0.0002519168026561397
SEX_08W,orbit_phase_coupling_tune,modes2,5,0.00034425662850769015,-0.0007492050882056238,0.00034422560393220685,-0.00024919179989554884
SEX_08W,all_saved,full_slopes,1,0.00035125107537221125,-0.0002507358154487953,0.00035125107537221125,-0.0002507358154487953
SEX_08W,all_saved,full_slopes,2,0.00014353340273046827,-0.00020874234284753252,-0.0003565777265795867,-0.0002087256907224266
SEX_08W,all_saved,full_slopes,3,0.0006595677579733557,-0.0002990805688335497,0.0011593920567889264,-0.00029909702930343556
SEX_08W,all_saved,full_slopes,4,0.0003518929428845432,0.00024615827033365104,0.0003518794357034283,-0.00025385506381047626
SEX_08W,all_saved,full_slopes,5,0.0003460183413350784,-0.0007438666325155271,0.0003459873167595951,-0.00024385334420545216
SEX_08W,all_saved,modes2,1,0.00035125107537221125,-0.0002507358154487953,0.00035125107537221125,-0.0002507358154487953
SEX_08W,all_saved,modes2,2,0.00014353340273046827,-0.00020874234284753252,-0.0003565777265795867,-0.0002087256907224266
SEX_08W,all_saved,modes2,3,0.0006595677579733557,-0.0002990805688335497,0.0011593920567889264,-0.00029909702930343556
SEX_08W,all_saved,modes2,4,0.0003518929428845432,0.00024615827033365104,0.0003518794357034283,-0.00025385506381047626
SEX_08W,all_saved,modes2,5,0.0003460183413350784,-0.0007438666325155271,0.0003459873167595951,-0.00024385334420545216
